Borough,Year,age-group,flow__Barking and Dagenham,flow__Barnet,flow__Bexley,flow__Brent,flow__Bromley,flow__Camden,flow__City of London,flow__Croydon,flow__Ealing,flow__Enfield,flow__Greenwich,flow__Hackney,flow__Hammersmith and Fulham,flow__Haringey,flow__Harrow,flow__Havering,flow__Hillingdon,flow__Hounslow,flow__Islington,flow__Kensington and Chelsea,flow__Kingston upon Thames,flow__Lambeth,flow__Lewisham,flow__Merton,flow__Newham,flow__Redbridge,flow__Richmond upon Thames,flow__Southwark,flow__Sutton,flow__Tower Hamlets,flow__Waltham Forest,flow__Wandsworth,flow__Westminster
Barking and Dagenham,2002,Age 0-3,,2.5562,5.5838,11.7365,3.8505,3.3372,0.1947,9.9965,10.8036,8.7469,7.1003,44.979,4.539,10.4846,3.1742,38.4973,,1.507,16.2465,6.627,3.4917,12.3564,5.2241,1.428,182.7447,102.9163,,21.9935,1.3602,50.1818,42.3711,4.0527,7.3207
Barking and Dagenham,2002,Age 11-15,,2.406,3.4635,4.5936,,,,2.3514,1.0968,4.812,3.4635,15.1508,3.2904,9.624,,31.6971,,,1.1749,2.5572,,6.9229,4.6152,,84.4104,67.2777,1.1639,16.1538,,44.3697,18.2448,,1.2786
Barking and Dagenham,2002,Age 4-10,,2.406,2.309,2.2968,,3.5247,,8.2299,4.3872,19.248,8.0817,48.6985,9.871,20.451,1.1484,36.2253,,2.1936,7.0494,10.2288,,13.8459,9.2306,,165.5742,149.3787,,20.7689,,42.2053,44.4717,6.25,7.6716
Barking and Dagenham,2003,Age 0-3,,3.0639,6.3733,8.6237,3.404,6.947,0.5192,3.7811,5.4576,12.7578,5.7099,61.2783,4.0408,23.9545,2.5401,31.8911,4.1889,5.2072,19.0505,3.5442,,9.8272,12.4771,,214.63,139.1333,,23.0889,1.155,64.4073,48.1065,,6.8388
Barking and Dagenham,2003,Age 11-15,,2.3984,,2.633,2.2116,1.2132,,1.2319,,8.3944,3.3174,31.8936,1.16,9.5936,,22.688,1.1667,,3.6396,,,3.465,6.93,,93.4815,101.759,,10.3953,,30.7938,24.0105,3.465,6.457
Barking and Dagenham,2003,Age 4-10,,3.5976,4.4232,11.8486,1.1058,8.4924,,6.1595,6.96,15.5896,8.8465,69.2863,1.16,17.9879,1.3165,52.1824,3.5001,5.8,9.7056,2.5828,,3.465,12.7053,1.155,233.1535,153.2103,,38.1163,1.155,69.2863,43.4478,2.31,9.0398
Barking and Dagenham,2004,Age 0-3,,9.1926,2.1052,17.146,1.8315,5.7986,0.7213,10.3045,1.0979,9.9959,12.0914,58.5964,4.9644,21.9351,7.8413,43.5777,0.6889,3.5646,8.5433,4.404,,17.409,10.1266,4.0355,262.6373,107.1675,,26.2057,0.4169,60.2655,57.5801,2.2289,14.4505
Barking and Dagenham,2004,Age 11-15,,1.1145,1.1891,3.6981,,,,1.1765,,4.458,2.3782,32.0328,1.374,11.1448,1.2327,33.0885,,,10.7038,1.1118,,1.2315,1.2315,1.1533,149.1184,73.6506,1.381,19.7038,,48.6015,23.3812,,3.3354
Barking and Dagenham,2004,Age 4-10,,3.3435,3.5673,14.7924,,4.7572,,3.5295,1.374,5.5725,9.5127,51.9153,5.496,15.6026,1.2327,46.78,,,3.5679,3.3354,,11.0835,1.2315,1.1533,249.635,140.2866,,36.9445,,65.1701,52.6078,3.4599,8.8946
Barking and Dagenham,2005,Age 0-3,,10.3034,0.9377,16.2691,1.8665,8.3029,1.4808,8.7093,4.5306,16.3744,9.426,61.3469,2.632,15.1795,6.0101,44.0893,,4.2292,12.0767,7.6194,0.3401,16.1985,16.8664,5.9547,284.6585,97.0501,0.3449,34.7977,1.988,78.2231,55.4723,2.1014,11.4493
Barking and Dagenham,2005,Age 11-15,,2.3382,2.4858,11.9889,1.2429,3.4535,,4.48,2.6826,5.8455,1.2429,18.6037,,4.6764,,26.5167,1.2368,1.3413,5.756,2.7352,,8.2823,4.7327,,123.6595,66.3625,,17.7475,,44.8677,22.5156,2.3824,2.7352
Barking and Dagenham,2005,Age 4-10,,5.8455,1.2429,17.4384,1.2429,5.7559,,5.6,4.0238,22.2129,6.2145,48.1506,4.0239,11.691,,51.8798,,6.7064,8.0583,1.3676,,17.7477,15.3813,1.1912,350.186,144.5754,,43.7774,,98.49,41.4764,5.956,6.838
Barking and Dagenham,2006,Age 0-3,,8.7301,4.4549,13.5773,7.3282,6.7225,0.8942,7.4317,4.486,12.9217,23.639,75.5101,5.5804,13.3083,2.4329,45.8015,8.8344,1.7562,3.1584,2.0335,0.72,24.6581,15.8543,3.0918,293.8377,145.2552,0.749,18.6522,0.2928,88.0986,68.0344,3.4441,14.6897
Barking and Dagenham,2006,Age 11-15,,1.1503,,4.7516,,3.6273,,,2.6013,5.7515,4.8476,34.0354,1.3007,11.503,,37.5481,1.2,,6.0455,1.2143,,3.5745,5.9574,4.0588,158.1,70.6625,,9.5318,,55.9937,25.4848,1.3529,3.6429
Barking and Dagenham,2006,Age 4-10,,8.0521,2.4238,7.1274,,3.6273,,2.2728,2.6013,19.5551,7.2714,46.1122,,14.9539,,50.064,4.8,,4.8364,1.2143,,14.2976,17.8721,2.7058,299.7311,119.3156,,22.6379,,116.379,44.0192,5.4117,12.143
Barking and Dagenham,2007,Age 0-3,,15.2127,7.4609,10.88,5.086,11.2915,0.6516,9.168,8.9663,17.2015,23.1384,70.9258,7.6179,14.8526,4.7645,71.1561,2.4782,4.6293,9.8198,3.6826,,19.3128,17.5427,5.3093,313.3302,174.2567,0.6649,23.8439,0.6064,87.796,99.1255,3.8912,15.494
Barking and Dagenham,2007,Age 11-15,,2.3572,,3.4614,,5.8905,,5.9375,2.3636,4.7144,8.1496,34.8608,1.1818,7.0716,,16.8185,,1.1818,5.8905,,,14.19,4.73,3.3117,133.9962,99.3386,,13.0075,,78.4368,20.7918,,1.2164
Barking and Dagenham,2007,Age 4-10,,9.429,2.3285,14.9998,,12.9591,,3.5625,11.818,12.9649,12.8064,47.9336,,10.6076,2.3076,48.2132,1.2391,,8.2467,,1.2679,15.3725,17.7376,7.7273,271.2606,170.9548,,22.4676,,132.9068,55.4448,1.1039,14.5969
Barking and Dagenham,2008,Age 0-3,,5.723,3.7166,9.2752,4.2534,4.8692,0.8418,4.7145,7.5971,16.1372,16.7067,71.4918,0.3203,24.3469,0.7371,35.1827,3.75,6.1268,12.4359,2.906,,12.8703,17.6545,4.0548,272.8455,160.0125,,22.2858,0.2668,101.689,96.6091,4.327,8.8228
Barking and Dagenham,2008,Age 11-15,,,,3.4452,1.1312,1.27,,1.3521,1.4143,1.121,2.2624,25.9857,,7.847,,31.4661,5,1.4143,2.54,,,3.6648,2.4432,1.2222,167.824,89.5912,,6.1081,2.4444,93.1152,40.201,1.2222,8.3125
Barking and Dagenham,2008,Age 4-10,,1.121,5.656,8.0388,1.1312,2.54,,4.0563,4.2429,11.21,12.4432,42.2265,,13.452,,61.8082,3.75,2.8286,11.4302,2.375,,7.3297,9.7729,4.8888,268.5185,175.7369,2.9778,25.6544,1.2222,146.1693,75.8077,7.3332,7.125
Barking and Dagenham,2009,Age 0-3,,7.4735,0.8862,1.2908,2.3311,8.4694,0.7604,6.3039,7.1001,22.5986,18.2658,67.2644,2.6753,25.2229,8.0084,71.5451,1.9496,7.5599,9.7967,3.3131,,16.3983,18.7423,1.76,321.974,223.7129,,13.5227,1.5842,78.9328,117.2296,0.6661,14.8337
Barking and Dagenham,2009,Age 11-15,,6.2994,1.1711,3.6705,,5.2068,,8.6292,,16.3783,1.1711,33.471,1.4248,7.5593,4.8941,26.6892,,1.4248,6.5085,,,3.5292,3.5292,1.3525,135.0002,95.1413,,15.2932,,61.3635,26.495,1.3525,3.6693
Barking and Dagenham,2009,Age 4-10,,2.5198,5.8555,12.2352,1.1711,2.6034,,10.0674,1.4248,34.0163,17.567,47.9751,1.4248,13.8586,,48.7368,3.8907,4.2744,6.5085,,,12.9403,12.9404,5.41,257.7278,199.917,,24.7042,1.3525,68.0577,52.99,4.0574,8.5617
Barking and Dagenham,2010,Age 0-3,,12.4894,3.8443,12.049,4.9544,5.629,0.4513,5.3256,4.3378,15.4553,27.2425,60.6391,2.2754,32.2875,3.8382,97.2809,4.7422,6.8408,6.7898,6.0993,,8.6787,15.7197,6.186,311.0547,189.8737,,19.6173,0.5471,67.2956,100.7126,1.8409,9.8877
Barking and Dagenham,2010,Age 11-15,,1.2256,,3.7404,2.446,3.5802,,,,6.1281,2.446,26.5397,1.3353,9.8051,,28.3104,2.7028,1.3353,2.3868,1.4955,,2.537,5.074,,111.9283,111.5884,,16.4909,,48.4638,22.7974,,
Barking and Dagenham,2010,Age 4-10,,6.1281,4.892,8.7276,1.223,4.7736,,2.6576,5.3411,11.0307,12.23,47.3099,2.6706,15.9332,1.2468,68.4168,1.3514,1.3353,11.934,4.4865,1.4853,3.8055,6.3426,,280.3986,209.9779,,22.8335,,80.773,73.1921,,10.4685
Barking and Dagenham,2011,Age 0-3,,11.9775,7.6182,17.1034,3.3422,9.767,0.9352,5.2418,7.682,15.5642,14.9614,50.1942,0.5335,26.3171,3.6676,88.5579,4.6521,4.7396,5.8486,5.3417,1.7763,11.1921,16.2338,4.9175,310.0971,198.5679,1.8223,19.2273,0.7795,72.6364,105.1105,4.951,5.8681
Barking and Dagenham,2011,Age 11-15,,1.2008,,7.0062,,2.6022,,,5.5,8.4056,3.8824,23.2079,,4.8032,,32.9945,1.3333,2.75,3.9033,1.1089,1.1486,,1.1478,,109.4079,64.7221,,12.6254,1.2177,39.7847,27.8975,1.2177,1.1089
Barking and Dagenham,2011,Age 4-10,,7.2048,6.4705,9.3416,,6.5055,,8.2205,9.625,10.8072,9.0588,40.8899,2.75,18.0118,,62.5757,9.3331,2.75,3.9033,2.2178,,5.739,8.0344,1.2177,255.2852,183.0062,,18.3644,,66.308,54.679,2.4354,3.3267
Barking and Dagenham,2012,Age 0-3,,4.4845,6.0533,11.9177,1.2156,4.7679,,11.4859,8.681,23.8838,9.9543,32.4554,8.9149,28.3682,1.297,84.2614,,,8.2467,3.8777,,10.128,13.8387,,359.7287,287.5218,,17.7826,,55.3679,102.5478,5.7183,8.6325
Barking and Dagenham,2012,Age 11-15,,2.57,3.6468,1.297,1.2156,2.578,,4.9608,4.9604,1.285,1.2156,17.5,,11.565,,41.0393,,1.2401,1.289,,,2.4736,2.4736,4.8888,147.5025,125.1587,,8.6576,,36.2504,36.8113,,1.2926
Barking and Dagenham,2012,Age 4-10,,5.14,8.5092,3.891,,2.578,,3.7206,6.2006,17.99,6.078,46.2506,2.4803,21.845,,76.0434,3.7902,1.2401,11.601,14.2183,,12.3681,6.184,1.2222,371.2561,287.1294,,21.026,,106.2517,93.2553,6.1111,5.1703
Barking and Dagenham,2013,Age 0-3,,17.5101,7.4164,9.9735,4.4251,16.8772,,15.7365,20.1676,14.2529,13.4543,39.3483,3.1828,15.0837,3.0614,69.1313,3.8102,5.3144,2.4519,6.5803,1.7253,22.9291,4.7598,1.7595,363.9682,303.3613,1.9785,14.9968,,70.8146,100.9609,6.1383,5.4125
Barking and Dagenham,2013,Age 11-15,,3.639,2.4229,2.4798,3.6223,6.1346,,2.4113,4.7573,7.3288,6.0083,27.1469,1.1786,12.1883,,49.9664,2.3834,1.2039,3.6926,10.3667,2.3317,4.7891,8.4328,,130.1836,131.2279,,14.4298,,65.0087,15.3577,1.1959,1.1465
Barking and Dagenham,2013,Age 4-10,,1.2205,4.7997,16.0718,1.1938,12.2301,,8.4139,10.6589,17.1425,16.8525,37.8505,,25.699,2.4889,67.7308,4.8122,4.7371,6.0981,11.5997,3.4764,19.2568,13.2348,4.7461,276.7567,287.1906,,15.6306,,91.3401,84.9477,9.5153,8.0807
Barking and Dagenham,2014,Age 0-3,,8.7917,5.3603,7.2186,4.3117,4.846,,5.4632,16.7256,30.4667,12.849,33.6847,2.9755,20.479,2.9023,99.4841,2.8758,2.3557,6.0881,7.0802,,15.3609,23.2927,7.5609,347.5224,276.2829,,10.4122,7.4687,99.0665,128.8312,4.5884,14.2373
Barking and Dagenham,2014,Age 11-15,,1.2137,,,2.4107,4.9197,,3.6292,2.3466,15.5981,4.8498,22.0331,3.526,6.0446,1.2231,27.8351,,3.5597,6.2015,,,12.1755,,1.159,124.9053,133.4498,,6.099,,51.5523,45.2099,,1.2671
Barking and Dagenham,2014,Age 4-10,,8.4572,4.8741,11.0054,2.4323,4.9495,,10.8515,18.7984,37.3679,12.207,47.8885,17.717,31.3794,3.6679,74.7149,4.8322,5.8554,8.6772,10.2584,,11.0414,9.7636,1.1752,338.9874,305.6965,,23.2205,3.5323,123.865,88.4205,7.0407,16.6176
Barking and Dagenham,2015,Age 0-3,,7.3872,6.5966,12.4618,4.8884,10.5066,,13.2319,10.0035,30.9401,18.7342,24.884,6.4651,24.768,2.3325,65.1034,5.2687,11.0438,1.2106,1.2488,1.8714,10.4957,13.2146,5.8592,313.7203,260.7031,2.2928,7.3629,1.1312,67.1863,100.3828,6.5692,12.3919
Barking and Dagenham,2015,Age 11-15,,4.7828,1.1945,5.796,2.3596,2.4221,,2.3264,3.4587,10.7989,3.5198,16.7167,4.6314,10.86,1.1635,36.1672,1.1528,1.1789,2.4149,1.2558,,3.5904,8.3635,2.2761,133.2663,117.5125,,7.1654,,55.9759,33.4808,,1.3103
Barking and Dagenham,2015,Age 4-10,,6.007,8.1948,10.4254,4.6701,2.4373,,4.6295,10.3337,45.5254,8.2089,20.1395,10.3426,25.1384,4.6537,74.4752,12.7606,8.0441,9.6523,7.4335,1.1408,7.1431,13.1223,3.3918,343.6351,346.7486,,7.1391,,116.3201,117.4025,1.1286,18.5923
Barking and Dagenham,2016,Age 0-3,,14.2808,12.4647,11.1911,5.5677,7.1776,,6.5156,14.3734,29.817,16.1621,32.4444,7.2127,25.5132,2.2184,79.6396,2.2325,8.7656,6.685,5.5267,1.1288,3.4705,13.9584,4.3187,293.7207,281.9803,,13.4928,,65.5119,97.2448,,20.0426
Barking and Dagenham,2016,Age 11-15,,4.6051,,5.5651,2.267,1.2404,,1.1099,2.2255,10.3944,2.2562,10.4919,4.4223,9.213,,44.2041,1.13,3.2915,4.9348,3.5886,,,2.3081,1.1043,139.0748,113.4155,,6.9456,1.1083,47.647,39.2504,1.1113,1.2035
Barking and Dagenham,2016,Age 4-10,,12.667,3.4077,15.5838,7.9773,2.446,,5.6064,4.4307,34.5156,11.3613,26.6916,11.0401,23.0612,1.1042,72.9957,2.2361,7.7393,4.8978,6.0337,,4.6332,18.5649,7.7496,356.1652,353.6386,,15.0476,,71.8785,115.5296,2.2138,16.9097
Barnet,2002,Age 0-3,1.8088,,2.0385,71.028,1.2993,118.7416,0.1398,4.013,21.9836,123.2937,3.7663,41.6189,1.7609,168.0198,31.7479,1.1517,5.4873,5.972,59.655,16.6093,0.2985,13.2732,6.7776,2.0534,28.8726,14.82,4.5036,7.0616,1.7818,16.9094,17.0899,7.5152,35.004
Barnet,2002,Age 11-15,1.2088,,1.2749,73.1352,1.2749,43.2455,1.2368,5.3392,11.4419,61.6369,2.5498,25.9735,3.8139,111.188,24.7716,1.2088,,2.5426,16.8178,7.6656,,4.9648,2.4824,,7.4209,7.2737,1.3806,9.9294,,3.7105,6.0614,1.2441,15.3314
Barnet,2002,Age 4-10,,,1.2749,136.8336,1.2749,97.3024,1.2368,2.6696,10.1706,124.482,11.474,24.7366,7.6279,152.279,46.0044,,2.4134,12.713,42.0443,10.2209,1.3806,8.6883,6.2059,,16.0788,8.486,1.3806,11.1708,,7.4209,13.335,6.2206,30.6633
Barnet,2003,Age 0-3,4.2256,,0.8607,87.7947,3.8752,91.4153,0.3036,3.0231,26.494,130.9573,2.5623,47.9339,6.0038,186.6423,56.4634,2.8452,0.3693,8.4609,59.212,7.403,2.9142,12.5469,6.6493,4.71,27.6163,23.6621,2.9254,14.7726,0.7526,14.2253,19.736,3.162,45.5393
Barnet,2003,Age 11-15,,,2.5371,55.2215,1.2685,68.6465,1.2152,2.4706,9.7232,57.9438,,23.0885,4.8616,88.1229,31.9057,,7.7501,4.8616,38.0008,3.775,1.2205,3.855,5.14,2.4908,2.4304,4.7784,2.4409,7.71,3.7362,8.5064,,2.4908,15.0998
Barnet,2003,Age 4-10,2.4053,,1.2685,98.1714,1.2685,84.5823,,4.9412,30.3849,120.7162,6.3427,32.8101,4.8616,179.8672,45.4041,2.4053,3.875,7.2924,49.0333,6.2917,6.1024,6.425,8.995,2.4908,10.9368,19.1136,3.6614,20.56,4.9816,6.076,10.7514,2.4908,46.5587
Barnet,2004,Age 0-3,5.5392,,1.6713,136.6044,0.8331,111.0782,0.3164,6.9503,30.1117,125.5605,6.9651,28.9397,12.6224,143.8387,51.5848,5.7622,3.8239,7.4331,52.4857,13.5897,0.4507,11.5393,14.6068,3.3288,34.9341,16.541,4.2241,11.9488,1.8722,11.6974,10.1019,3.1722,62.8017
Barnet,2004,Age 11-15,2.2656,,,85.0523,1.2662,50.3945,,,2.5448,80.5014,1.2662,27.8806,3.8172,70.889,25.1562,1.1328,5.802,6.362,31.9574,6.2155,,3.9414,3.9414,1.198,10.9098,7.5,,3.9414,,2.4244,6.25,2.396,26.105
Barnet,2004,Age 4-10,6.7969,,,152.1362,2.5324,78.6645,2.4244,5.2736,16.5412,162.2038,3.7986,42.427,11.4516,200.6519,57.5002,1.1328,8.1228,10.1792,46.707,14.9172,,13.138,9.1966,8.386,13.3342,15,1.1828,11.8242,1.198,1.2122,8.75,5.99,59.6683
Barnet,2005,Age 0-3,3.8403,,2.1651,120.5958,1.4985,106.9794,1.3308,4.4267,13.8789,110.6992,5.5643,34.1291,13.9401,120.5272,45.3315,2.0384,5.5218,11.974,46.1918,12.639,3.5221,10.5579,14.1973,1.5155,20.6288,8.0603,1.1049,6.8628,0.6836,11.2623,26.4797,16.5747,42.772
Barnet,2005,Age 11-15,,,,98.2038,,38.0214,,4.0404,8.8367,69.3821,2.5215,23.838,15.1487,87.3258,29.0976,,3.7728,,35.645,5.1363,2.5186,6.2176,1.2435,1.2272,4.7676,11.108,2.5186,3.7306,,1.1919,7.4053,,21.8293
Barnet,2005,Age 4-10,5.0484,,2.5215,184.2834,1.2608,81.9835,,6.7341,21.4607,137.5678,6.3039,47.676,12.624,145.9418,69.1066,3.7863,12.5761,7.5743,47.5266,14.1249,,11.1916,7.461,1.2272,20.2623,7.4054,1.2593,6.2175,,9.5352,14.8106,9.8176,25.6815
Barnet,2006,Age 0-3,7.4114,,3.203,129.4748,3.829,119.3942,0.4885,12.4441,12.5973,119.7857,6.5579,31.2671,17.6391,159.7752,88.8916,1.5446,9.1802,7.9839,53.0082,13.0427,0.4175,22.2308,6.4929,3.0254,34.1159,30.9551,1.678,13.328,0.4003,14.563,24.7535,4.7581,52.2686
Barnet,2006,Age 11-15,,,1.2438,67.275,,41.43,,5.276,12.6787,82.9132,,12.259,7.6073,73.2998,50.1508,,8.3343,6.3397,29.2447,7.7627,1.3053,2.5402,7.6206,1.2472,9.8072,6.126,1.3053,,1.2472,3.6777,12.252,,24.5815
Barnet,2006,Age 4-10,7.3404,,1.2438,118.6491,2.4876,97.4822,,5.276,17.7502,159.8181,9.9504,30.6476,19.0182,136.9869,102.7477,,17.8594,6.3395,30.4631,11.6439,2.6106,13.9711,11.4309,7.4834,14.7108,20.8284,1.3053,1.2701,1.2472,7.3554,19.6032,1.2472,41.4002
Barnet,2007,Age 0-3,3.7851,,4.2791,128.0422,3.4788,158.743,0.2896,11.0104,28.1949,95.9014,7.3829,26.2408,14.36,188.0301,82.3083,3.3218,8.3527,10.2032,74.1957,8.3077,,15.5889,14.8418,4.7556,34.6299,25.9965,5.2754,16.2751,3.2544,24.5317,22.3172,12.9742,46.9871
Barnet,2007,Age 11-15,1.2721,,,65.1334,,47.8469,,4.1203,4.8843,76.0896,4.8364,12.9371,3.6633,68.9562,36.8679,,3.7585,7.3266,21.5311,3.7575,,5.994,2.3976,3.6015,7.0566,7.2035,2.262,2.3976,1.2005,,12.0058,3.6015,6.2626
Barnet,2007,Age 4-10,2.5442,,,117.9774,2.4182,95.6938,,5.4936,15.8739,116.5122,6.0455,19.9937,9.7686,154.557,61.4467,,6.264,7.3265,43.0621,10.0202,2.262,10.7893,3.5964,2.401,16.4654,20.4097,9.048,10.7893,2.401,4.7044,24.0112,6.0026,28.8083
Barnet,2008,Age 0-3,7.2773,,3.3308,140.9923,3.7133,135.6764,0.4072,5.7247,14.6821,130.9177,8.1365,36.8484,22.334,157.4828,78.105,4.0254,6.3359,9.2258,71.1549,15.3493,3.0286,13.3566,10.8251,5.0623,31.6742,12.9438,0.6418,8.0451,1.0263,15.0905,13.9232,12.1863,53.0722
Barnet,2008,Age 11-15,1.2528,,1.2105,48.676,1.2105,53.5969,,3.9159,5.098,76.8035,3.6315,23.218,3.8235,80.4038,33.242,1.2528,3.873,6.3725,15.8353,1.237,,2.4614,2.4614,1.1987,3.4827,5.9904,3.7971,7.3841,,,7.1885,,17.3175
Barnet,2008,Age 4-10,3.7585,,1.2105,117.5347,1.2105,131.5564,,6.5266,12.7452,120.0057,12.1053,30.1834,7.6471,141.6066,65.2972,2.5056,5.164,6.3726,29.2345,4.948,,3.6921,6.1535,,15.0917,8.3865,1.2657,7.384,,2.3218,21.5653,1.1987,21.0285
Barnet,2009,Age 0-3,9.0238,,1.4796,146.9738,2.5816,107.8019,0.305,5.3836,30.7016,133.1481,5.3945,31.388,15.1635,126.8069,84.6634,4.115,9.4839,15.2825,69.6925,3.6212,3.243,9.1974,6.6724,1.9627,38.1914,20.5981,3.5362,8.5615,4.1281,20.664,23.2788,2.6284,36.4201
Barnet,2009,Age 11-15,2.4054,,,80.2327,3.6249,66.9091,,10.1477,13.7631,85.9709,2.4166,9.6061,2.7526,64.7897,52.6525,,4.0645,1.3763,16.7271,2.585,,2.51,2.51,4.9021,8.4055,5.0144,,6.275,1.2255,,10.0287,,15.5103
Barnet,2009,Age 4-10,4.8108,,3.6249,141.6608,1.2083,93.9301,,2.537,15.1393,144.5305,1.2083,26.417,1.3763,119.6114,87.7543,,9.4837,5.5052,24.4473,1.2925,2.6414,15.06,5.02,6.1275,9.6062,12.5358,1.3207,7.53,1.2255,8.4055,16.2965,2.451,27.1432
Barnet,2010,Age 0-3,9.251,,2.3831,158.2184,7.5156,131.4039,2.7571,8.0732,19.4968,129.0573,11.5852,34.6074,5.8513,185.2142,99.2657,3.3411,12.3932,8.2406,69.0061,11.7104,2.9433,17.4945,6.8801,7.9231,47.2808,18.4837,4.2393,15.7518,4.5099,17.8055,22.7155,11.8613,53.0573
Barnet,2010,Age 11-15,1.2051,,,86.8851,2.5968,48.2851,,1.2016,9.5361,61.78,2.5968,18.597,1.3623,80.314,34.2645,7.2305,6.4644,4.0869,18.5713,3.9343,3.8094,8.7794,3.7626,,9.9184,4.9348,,6.271,2.4252,7.4388,3.7011,1.2126,26.2286
Barnet,2010,Age 4-10,3.6153,,1.2984,139.5055,3.8953,116.3794,1.2398,2.4032,34.0572,151.9788,9.0888,34.7144,5.4492,142.094,58.7392,,9.0503,4.0869,39.6187,,,12.542,7.5252,1.2126,23.5562,11.1033,5.0792,13.7962,1.2126,4.9592,13.5707,2.4252,40.6543
Barnet,2011,Age 0-3,5.9886,,3.1527,102.4178,2.8485,125.9613,0.3481,7.8903,18.2419,111.6523,8.8107,25.1912,10.8997,184.5916,75.2251,4.0403,17.2193,10.0199,54.8061,7.9728,3.5007,17.76,12.0122,2.4675,26.4441,30.2393,1.059,21.0776,1.8733,22.9228,25.4621,7.4658,47.5946
Barnet,2011,Age 11-15,1.1545,,2.3494,61.077,4.6988,48.108,1.1623,2.3364,11.3085,81.6816,8.2229,5.8115,5.026,55.2552,37.8678,2.309,6.914,2.513,19.2432,3.7263,,2.4166,8.458,3.6072,4.6492,9.1512,1.2552,,2.4048,1.1623,6.8634,1.2024,11.1789
Barnet,2011,Age 4-10,10.3905,,2.3494,118.4894,2.3494,62.5404,1.1623,2.3364,18.8475,145.3451,4.6988,13.9476,5.026,166.9664,97.723,5.7725,12.4452,18.8475,26.4594,4.9684,,8.4581,10.8744,2.4048,11.623,24.0219,,7.2498,1.2024,11.623,18.3024,7.2145,34.7788
Barnet,2012,Age 0-3,7.7839,,4.4535,185.1617,3.3074,145.8553,,10.8418,22.7131,116.7169,8.5714,28.5511,12.4488,140.3812,109.0536,,5.8909,7.5702,64.2551,8.0057,6.5459,5.8421,10.222,6.5157,7.8834,25.4296,6.6485,12.2946,4.5579,19.2305,25.3648,4.4556,61.3733
Barnet,2012,Age 11-15,6.2599,,2.4966,74.5415,,52.0423,,1.2731,8.8319,68.7258,3.7448,7.6081,2.5234,57.0555,37.9245,,2.5794,8.8319,26.0212,5.2196,,1.2565,,1.2489,5.0721,16.3501,5.0187,1.2565,1.2489,1.268,11.3193,3.7467,24.7925
Barnet,2012,Age 4-10,12.5199,,1.2483,147.7749,1.2483,114.4929,,1.2731,29.0191,127.0779,6.2414,21.5565,6.3085,142.6385,83.6955,1.252,10.3176,11.3553,45.5371,6.5244,,15.078,6.2825,2.4978,11.4124,13.8347,5.0188,5.026,1.2489,7.6081,32.7002,3.7467,45.6705
Barnet,2013,Age 0-3,7.9349,,4.9596,173.5051,2.4257,154.1395,1.256,3.7865,27.9644,101.1153,6.7173,24.2453,11.1326,154.8206,73.8907,1.1975,11.73,6.6552,32.8071,18.03,,14.0657,3.0914,4.2369,23.0263,7.8317,2.3825,11.7601,4.9108,23.1268,20.0934,7.9766,45.5598
Barnet,2013,Age 11-15,3.56,,,56.9387,3.6254,52.9652,,,6.0186,72.3246,,7.1728,2.3708,77.4195,37.166,,4.8533,4.7956,15.9658,3.538,,2.4245,,2.41,5.9221,11.9548,2.3966,2.4204,,3.6005,5.9631,,35.4074
Barnet,2013,Age 4-10,13.1319,,,147.3963,4.8233,112.9144,,3.6561,20.35,141.1457,4.852,21.5086,3.5972,141.1743,82.9913,1.1878,9.7242,5.9679,49.013,10.5476,,9.6737,10.9125,,11.9928,15.511,5.9743,7.2452,,7.1576,15.6321,9.6183,48.3381
Barnet,2014,Age 0-3,8.2855,,,201.4414,1.9794,176.1389,,13.4298,19.8724,126.5371,1.2096,31.0303,15.2264,156.6037,102.0059,5.5645,21.3466,6.6509,62.7026,6.2397,3.5454,3.6446,11.6641,5.4636,14.5173,15.696,12.8447,14.4445,,29.8563,25.6679,4.2764,52.8753
Barnet,2014,Age 11-15,,,1.1993,89.2189,,62.5771,,1.1862,5.8829,93.4272,2.3908,12.1576,5.893,51.5884,50.7033,6.0008,9.5842,5.9167,19.7381,1.2333,2.3261,1.2138,1.2059,4.6987,6.0992,6.0477,,1.2078,,,7.2809,2.3527,23.7718
Barnet,2014,Age 4-10,16.6741,,2.3982,165.3405,,135.4345,,3.5793,22.3669,171.1337,6.0441,23.1339,14.167,176.1446,113.476,2.4015,11.9521,5.8947,46.2653,6.2296,1.1846,2.4407,7.2925,2.3474,23.0816,7.2823,2.3559,7.2492,,17.0187,24.2365,4.6993,41.1397
Barnet,2015,Age 0-3,3.5619,,1.1901,165.5094,3.5618,108.8158,1.2087,,16.0192,105.8304,11.1506,17.8588,16.2721,148.3998,103.6107,4.2555,12.7416,3.5031,43.3519,7.1495,4.6848,9.7871,13.6577,8.2782,23.3378,16.1033,,24.3849,,23.5938,19.6354,10.989,60.7983
Barnet,2015,Age 11-15,,,,93.3548,4.7717,47.4796,,4.7766,11.6678,70.0531,,2.4099,1.178,63.8834,48.3941,1.1889,7.1421,8.1789,10.952,2.4834,1.1819,5.9685,3.6178,2.3321,5.9923,8.2122,,2.4077,1.1704,2.4047,4.6985,1.1503,17.4508
