Borough,Year,Code,Numbers__Christian,Numbers__Buddhist,Numbers__Hindu,Numbers__Jewish,Numbers__Muslim,Numbers__Sikh,Numbers__Any Other Religion,Numbers__No Religion,Numbers__Total,Percentages__Christian,Percentages__Buddhist,Percentages__Hindu,Percentages__Jewish,Percentages__Muslim,Percentages__Sikh,Percentages__Any Other Religion,Percentages__No Religion
Kensington and Chelsea,2018,E09000020,75300.0,2600.0,2600.0,7200.0,15800.0,,9200.0,41200.0,153900.0,48.9,1.7,1.7,4.7,10.3,,6.0,26.8
Kingston upon Thames,2004,E09000021,109700.0,,4500.0,,4900.0,,3600.0,21800.0,144500.0,75.9,,3.1,,3.4,,2.5,15.1
Kingston upon Thames,2005,E09000021,104300.0,,7000.0,,5800.0,,5300.0,28300.0,150700.0,69.2,,4.6,,3.8,,3.5,18.8
Kingston upon Thames,2006,E09000021,101200.0,,5800.0,,8100.0,,3700.0,32900.0,151800.0,66.7,,3.8,,5.3,,2.5,21.7
Kingston upon Thames,2007,E09000021,98800.0,,5800.0,,9700.0,,2600.0,35100.0,152000.0,65.0,,3.8,,6.4,,1.7,23.1
Kingston upon Thames,2008,E09000021,100600.0,,7700.0,,9400.0,,3500.0,33300.0,154600.0,65.1,,5.0,,6.1,,2.3,21.6
Kingston upon Thames,2009,E09000021,105700.0,2600.0,5900.0,,7600.0,,3000.0,30900.0,155800.0,67.9,1.7,3.8,,4.9,,1.9,19.9
Kingston upon Thames,2010,E09000021,98200.0,2800.0,9200.0,,7200.0,2200.0,5600.0,31900.0,157100.0,62.5,1.8,5.9,,4.6,1.4,3.6,20.3
Kingston upon Thames,2011,E09000021,90800.0,2100.0,6100.0,,9300.0,2700.0,3700.0,42000.0,156600.0,58.0,1.3,3.9,,5.9,1.7,2.3,26.8
Kingston upon Thames,2012,E09000021,88000.0,3700.0,6200.0,,10400.0,,2900.0,47600.0,160700.0,54.8,2.3,3.9,,6.5,,1.8,29.6
Kingston upon Thames,2013,E09000021,94200.0,,9200.0,,5800.0,2500.0,3200.0,47500.0,163900.0,57.5,,5.6,,3.6,1.5,1.9,29.0
Kingston upon Thames,2014,E09000021,97000.0,,7000.0,,13300.0,,2700.0,44100.0,166100.0,58.4,,4.2,,8.0,,1.6,26.6
Kingston upon Thames,2015,E09000021,96200.0,,8700.0,,14300.0,,4000.0,40600.0,166200.0,57.9,,5.2,,8.6,,2.4,24.4
Kingston upon Thames,2016,E09000021,93000.0,,9500.0,,11200.0,,7800.0,48900.0,170400.0,54.6,,5.6,,6.5,,4.6,28.7
Kingston upon Thames,2017,E09000021,83800.0,3300.0,9500.0,2400.0,18100.0,,3400.0,51900.0,172200.0,48.6,1.9,5.5,1.4,10.5,,2.0,30.1
Kingston upon Thames,2018,E09000021,74000.0,2300.0,10700.0,,19400.0,,3800.0,66300.0,176500.0,41.9,1.3,6.1,,11.0,,2.2,37.6
Lambeth,2004,E09000022,180800.0,6200.0,4400.0,,16100.0,,9500.0,45900.0,262900.0,68.8,2.3,1.7,,6.1,,3.6,17.4
Lambeth,2005,E09000022,181900.0,4700.0,3800.0,,13000.0,,16500.0,54600.0,274400.0,66.3,1.7,1.4,,4.7,,6.0,19.9
Lambeth,2006,E09000022,181300.0,,,,23200.0,,21600.0,50700.0,276700.0,65.5,,,,8.4,,7.8,18.3
Lambeth,2007,E09000022,175000.0,,,,23400.0,,18900.0,63500.0,280800.0,62.3,,,,8.3,,6.7,22.6
Lambeth,2008,E09000022,169100.0,,3100.0,,28300.0,,15600.0,69700.0,285700.0,59.2,,1.1,,9.9,,5.5,24.4
Lambeth,2009,E09000022,187000.0,,,,19200.0,,17000.0,67800.0,290900.0,64.3,,,,6.6,,5.8,23.3
Lambeth,2010,E09000022,171200.0,5100.0,,,14100.0,,14600.0,88200.0,293400.0,58.4,1.8,,,4.8,,5.0,30.1
Lambeth,2011,E09000022,154500.0,5000.0,,,12800.0,,9000.0,117500.0,298700.0,51.7,1.7,,,4.3,,3.0,39.3
Lambeth,2012,E09000022,159400.0,,,,18500.0,,4900.0,113800.0,305600.0,52.2,,,,6.1,,1.6,37.2
Lambeth,2013,E09000022,163500.0,5100.0,,,12100.0,,5800.0,119800.0,309700.0,52.8,1.6,,,3.9,,1.9,38.7
Lambeth,2014,E09000022,156900.0,,,,14000.0,,5900.0,126800.0,311100.0,50.4,,,,4.5,,1.9,40.8
Lambeth,2015,E09000022,154900.0,5200.0,,,24400.0,,8300.0,119700.0,316500.0,48.9,1.7,,,7.7,,2.6,37.8
Lambeth,2016,E09000022,163600.0,,,,21200.0,,10600.0,123500.0,318900.0,51.3,,,,6.7,,3.3,38.7
Lambeth,2017,E09000022,167200.0,,,,13800.0,,8900.0,130600.0,320500.0,52.2,,,,4.3,,2.8,40.8
Lambeth,2018,E09000022,143500.0,,7200.0,,34300.0,,14100.0,124500.0,323600.0,44.4,,2.2,,10.6,,4.4,38.5
Lewisham,2004,E09000023,165600.0,3000.0,4400.0,,13900.0,,3500.0,47900.0,238300.0,69.5,1.3,1.9,,5.8,,1.5,20.1
Lewisham,2005,E09000023,167800.0,,4400.0,,20600.0,,3000.0,56500.0,252300.0,66.5,,1.8,,8.2,,1.2,22.4
Lewisham,2006,E09000023,161800.0,4300.0,6400.0,,16300.0,,4500.0,60600.0,253700.0,63.8,1.7,2.5,,6.4,,1.8,23.9
Lewisham,2007,E09000023,167700.0,6200.0,6000.0,,18900.0,,3000.0,56600.0,258500.0,64.9,2.4,2.3,,7.3,,1.2,21.9
Lewisham,2008,E09000023,176100.0,4500.0,6600.0,,17700.0,,3400.0,56000.0,264300.0,66.6,1.7,2.5,,6.7,,1.3,21.2
Lewisham,2009,E09000023,196000.0,,3500.0,,10400.0,,3900.0,55000.0,268700.0,72.9,,1.3,,3.9,,1.4,20.5
Lewisham,2010,E09000023,174700.0,,5100.0,,18600.0,,7400.0,64400.0,270300.0,64.6,,1.9,,6.9,,2.7,23.8
Lewisham,2011,E09000023,157100.0,4600.0,7500.0,,18200.0,,7600.0,79600.0,274500.0,57.2,1.7,2.7,,6.6,,2.8,29.0
Lewisham,2012,E09000023,150900.0,,10100.0,,26000.0,,4600.0,82500.0,279100.0,54.1,,3.6,,9.3,,1.6,29.5
Lewisham,2013,E09000023,144600.0,3300.0,4700.0,,25200.0,,6000.0,96600.0,283300.0,51.1,1.2,1.7,,8.9,,2.1,34.1
Lewisham,2014,E09000023,149900.0,3200.0,5900.0,2900.0,22500.0,,7000.0,96900.0,288600.0,51.9,1.1,2.0,1.0,7.8,,2.4,33.6
Lewisham,2015,E09000023,149500.0,,12500.0,,22800.0,,6200.0,98900.0,293200.0,51.0,,4.3,,7.8,,2.1,33.7
Lewisham,2016,E09000023,140300.0,,8300.0,,22700.0,,15300.0,109800.0,296500.0,47.3,,2.8,,7.7,,5.2,37.0
Lewisham,2017,E09000023,162900.0,,9600.0,,12400.0,,8200.0,106000.0,299100.0,54.5,,3.2,,4.2,,2.8,35.4
Lewisham,2018,E09000023,145500.0,,7600.0,,21000.0,,12900.0,117400.0,304400.0,47.8,,2.5,,6.9,,4.2,38.6
Merton,2004,E09000024,126200.0,,7600.0,,8400.0,3200.0,8600.0,30400.0,184500.0,68.4,,4.1,,4.6,1.8,4.6,16.5
Merton,2005,E09000024,138800.0,,7500.0,,7300.0,,7100.0,28400.0,189200.0,73.4,,4.0,,3.8,,3.8,15.0
Merton,2006,E09000024,128900.0,,11100.0,,14200.0,,4100.0,33000.0,191200.0,67.4,,5.8,,7.4,,2.2,17.2
Merton,2007,E09000024,135600.0,2400.0,8800.0,,13400.0,,3300.0,28700.0,192300.0,70.5,1.3,4.6,,7.0,,1.7,14.9
Merton,2008,E09000024,132600.0,2700.0,12500.0,,13800.0,,4500.0,28500.0,194500.0,68.2,1.4,6.4,,7.1,,2.3,14.6
Merton,2009,E09000024,126900.0,,15300.0,,18900.0,,8100.0,27400.0,196600.0,64.5,,7.8,,9.6,,4.1,13.9
Merton,2010,E09000024,116300.0,,15600.0,,19600.0,,12200.0,32800.0,196600.0,59.2,,8.0,,10.0,,6.2,16.7
Merton,2011,E09000024,112600.0,,17000.0,,12600.0,,4900.0,50400.0,197400.0,57.0,,8.6,,6.4,,2.5,25.5
Merton,2012,E09000024,118900.0,,19100.0,,13800.0,,3100.0,42600.0,199700.0,59.6,,9.5,,6.9,,1.6,21.3
Merton,2013,E09000024,126400.0,,7900.0,,14800.0,,,49500.0,201500.0,62.7,,3.9,,7.4,,,24.6
Merton,2014,E09000024,115700.0,,13100.0,,18900.0,,3800.0,48000.0,202600.0,57.1,,6.5,,9.3,,1.9,23.7
Merton,2015,E09000024,113800.0,,9400.0,,20200.0,,,55400.0,204500.0,55.6,,4.6,,9.9,,,27.1
Merton,2016,E09000024,98900.0,2900.0,9700.0,,25200.0,,6500.0,61900.0,205100.0,48.2,1.4,4.7,,12.3,,3.2,30.2
Merton,2017,E09000024,96200.0,,10300.0,,21100.0,,9800.0,66900.0,204200.0,47.1,,5.0,,10.3,,4.8,32.8
Merton,2018,E09000024,107000.0,,11100.0,,12600.0,,7300.0,69000.0,206900.0,51.7,,5.3,,6.1,,3.5,33.3
Newham,2004,E09000025,115600.0,,20500.0,,70800.0,5300.0,5500.0,24500.0,242200.0,47.7,,8.5,,29.2,2.2,2.3,10.1
Newham,2005,E09000025,119400.0,,18600.0,,78300.0,8000.0,5100.0,22900.0,252300.0,47.3,,7.4,,31.0,3.2,2.0,9.1
Newham,2006,E09000025,135900.0,,12200.0,,74900.0,6800.0,7200.0,20400.0,257400.0,52.8,,4.8,,29.1,2.7,2.8,7.9
Newham,2007,E09000025,128600.0,,17100.0,,85000.0,3200.0,3800.0,27400.0,265000.0,48.5,,6.5,,32.1,1.2,1.4,10.3
Newham,2008,E09000025,139200.0,,13600.0,,89900.0,3500.0,4100.0,25000.0,275300.0,50.6,,4.9,,32.7,1.3,1.5,9.1
Newham,2009,E09000025,142800.0,3100.0,19300.0,,86600.0,4100.0,4800.0,24000.0,284800.0,50.2,1.1,6.8,,30.4,1.4,1.7,8.4
Newham,2010,E09000025,120000.0,4100.0,24900.0,,110700.0,6500.0,5100.0,25700.0,296900.0,40.4,1.4,8.4,,37.3,2.2,1.7,8.7
Newham,2011,E09000025,125900.0,,28400.0,,113800.0,9500.0,4100.0,25800.0,307600.0,40.9,,9.2,,37.0,3.1,1.3,8.4
Newham,2012,E09000025,127500.0,,27900.0,,111000.0,11100.0,,32800.0,314600.0,40.5,,8.9,,35.3,3.5,,10.4
Newham,2013,E09000025,133100.0,,31500.0,,116900.0,8100.0,,24400.0,319500.0,41.7,,9.9,,36.6,2.5,,7.6
Newham,2014,E09000025,135800.0,,20400.0,,132900.0,5900.0,,26800.0,325900.0,41.7,,6.3,,40.8,1.8,,8.2
Newham,2015,E09000025,151700.0,,18800.0,,118700.0,3500.0,4200.0,36000.0,334600.0,45.4,,5.6,,35.5,1.0,1.3,10.8
Newham,2016,E09000025,144400.0,,21500.0,,126500.0,5100.0,9000.0,36000.0,342600.0,42.2,,6.3,,36.9,1.5,2.6,10.5
Newham,2017,E09000025,136300.0,,10300.0,,149500.0,,10400.0,40200.0,346700.0,39.3,,3.0,,43.1,,3.0,11.6
Newham,2018,E09000025,135200.0,,16400.0,,148400.0,6400.0,7300.0,39000.0,352600.0,38.4,,4.6,,42.1,1.8,2.1,11.1
Redbridge,2004,E09000026,123200.0,,19700.0,16500.0,29700.0,22400.0,3600.0,23000.0,237900.0,51.8,,8.3,6.9,12.5,9.4,1.5,9.7
Redbridge,2005,E09000026,130900.0,,26700.0,13200.0,37900.0,14600.0,3400.0,23100.0,249800.0,52.4,,10.7,5.3,15.2,5.8,1.4,9.2
Redbridge,2006,E09000026,110800.0,,32300.0,14300.0,45200.0,19300.0,3500.0,28200.0,253500.0,43.7,,12.7,5.6,17.8,7.6,1.4,11.1
Redbridge,2007,E09000026,128900.0,,31100.0,12100.0,45100.0,15400.0,7200.0,18500.0,258200.0,49.9,,12.0,4.7,17.5,6.0,2.8,7.1
Redbridge,2008,E09000026,128000.0,,25700.0,10000.0,54800.0,16800.0,4200.0,24000.0,263500.0,48.6,,9.8,3.8,20.8,6.4,1.6,9.1
Redbridge,2009,E09000026,114900.0,,31800.0,8400.0,57300.0,18700.0,8400.0,28000.0,267500.0,42.9,,11.9,3.1,21.4,7.0,3.1,10.5
Redbridge,2010,E09000026,117800.0,,29500.0,10900.0,61800.0,14700.0,5200.0,33600.0,273400.0,43.1,,10.8,4.0,22.6,5.4,1.9,12.3
Redbridge,2011,E09000026,100000.0,,42500.0,9600.0,76000.0,14800.0,4400.0,31200.0,278500.0,35.9,,15.3,3.4,27.3,5.3,1.6,11.2
Redbridge,2012,E09000026,107200.0,,29900.0,9700.0,81100.0,15100.0,2500.0,35400.0,282200.0,38.0,,10.6,3.5,28.7,5.4,0.9,12.5
Redbridge,2013,E09000026,107100.0,,35500.0,9700.0,80300.0,13800.0,4000.0,34400.0,287000.0,37.3,,12.4,3.4,28.0,4.8,1.4,12.0
Redbridge,2014,E09000026,116500.0,2900.0,34500.0,11400.0,69900.0,11600.0,3600.0,41400.0,291800.0,39.9,1.0,11.8,3.9,23.9,4.0,1.2,14.2
Redbridge,2015,E09000026,102800.0,,49600.0,8200.0,84800.0,9900.0,,38700.0,296200.0,34.7,,16.7,2.8,28.6,3.3,,13.1
Redbridge,2016,E09000026,101200.0,,42200.0,10000.0,85100.0,13200.0,5900.0,41800.0,299300.0,33.8,,14.1,3.3,28.4,4.4,2.0,14.0
Redbridge,2017,E09000026,105200.0,,41900.0,10100.0,87900.0,9200.0,5900.0,39000.0,299300.0,35.2,,14.0,3.4,29.4,3.1,2.0,13.0
Redbridge,2018,E09000026,120600.0,,32300.0,14600.0,85000.0,13000.0,,38700.0,306900.0,39.3,,10.5,4.8,27.7,4.2,,12.6
Richmond upon Thames,2004,E09000027,119200.0,,,,6100.0,,7000.0,38500.0,170800.0,69.8,,,,3.6,,4.1,22.5
Richmond upon Thames,2005,E09000027,132600.0,,,1900.0,3100.0,,3400.0,37900.0,178900.0,74.1,,,1.0,1.8,,1.9,21.2
Richmond upon Thames,2006,E09000027,128800.0,1900.0,,1900.0,,2300.0,3200.0,42100.0,180100.0,71.5,1.0,,1.0,,1.3,1.8,23.4
Richmond upon Thames,2007,E09000027,130500.0,,,,7900.0,,5900.0,35300.0,179600.0,72.7,,,,4.4,,3.3,19.7
Richmond upon Thames,2008,E09000027,125200.0,,,,11500.0,,5900.0,37600.0,180300.0,69.5,,,,6.4,,3.3,20.9
Richmond upon Thames,2009,E09000027,124500.0,,3500.0,,6500.0,,6500.0,41500.0,182500.0,68.2,,1.9,,3.5,,3.5,22.7
Richmond upon Thames,2010,E09000027,119800.0,3600.0,,,9900.0,,7000.0,44200.0,184400.0,65.0,1.9,,,5.4,,3.8,24.0
Richmond upon Thames,2011,E09000027,116500.0,,2900.0,,6600.0,,5700.0,51600.0,183400.0,63.5,,1.6,,3.6,,3.1,28.1
Richmond upon Thames,2012,E09000027,109600.0,,3200.0,,5100.0,,4500.0,61300.0,187000.0,58.6,,1.7,,2.7,,2.4,32.8
Richmond upon Thames,2013,E09000027,111800.0,,,,5000.0,2700.0,2400.0,64000.0,188100.0,59.4,,,,2.6,1.4,1.3,34.0
Richmond upon Thames,2014,E09000027,112500.0,,,,6300.0,2500.0,2600.0,63000.0,190700.0,59.0,,,,3.3,1.3,1.4,33.0
Richmond upon Thames,2015,E09000027,111700.0,,3700.0,,5900.0,2800.0,7200.0,56900.0,191600.0,58.3,,2.0,,3.1,1.5,3.8,29.7
Richmond upon Thames,2016,E09000027,102000.0,,2800.0,,4000.0,,16000.0,67400.0,192300.0,53.1,,1.5,,2.1,,8.3,35.1
Richmond upon Thames,2017,E09000027,100800.0,3500.0,2800.0,2900.0,6600.0,,13000.0,61600.0,191200.0,52.7,1.8,1.5,1.5,3.5,,6.8,32.2
Richmond upon Thames,2018,E09000027,99200.0,,,4000.0,7000.0,,14200.0,69200.0,193600.0,51.3,,,2.1,3.6,,7.3,35.8
Southwark,2004,E09000028,171600.0,5300.0,,,17400.0,,6400.0,45300.0,245900.0,69.8,2.1,,,7.1,,2.6,18.4
Southwark,2005,E09000028,172700.0,7500.0,,,25100.0,,10600.0,43700.0,259600.0,66.5,2.9,,,9.7,,4.1,16.8
Southwark,2006,E09000028,150300.0,5600.0,3400.0,,36900.0,,15000.0,52800.0,264100.0,56.9,2.1,1.3,,14.0,,5.7,20.0
Southwark,2007,E09000028,160400.0,3900.0,3300.0,,29500.0,,10100.0,63000.0,270300.0,59.4,1.5,1.2,,10.9,,3.7,23.3
Southwark,2008,E09000028,163900.0,,,3200.0,23500.0,,10200.0,73100.0,274000.0,59.8,,,1.2,8.6,,3.7,26.7
Southwark,2009,E09000028,178500.0,,,,27800.0,,12700.0,59300.0,278300.0,64.2,,,,10.0,,4.6,21.3
Southwark,2010,E09000028,178000.0,,5500.0,,26000.0,,12200.0,59500.0,281100.0,63.3,,1.9,,9.2,,4.3,21.2
Southwark,2011,E09000028,156400.0,5900.0,4400.0,,23500.0,,6300.0,87500.0,284100.0,55.1,2.1,1.6,,8.3,,2.2,30.8
Southwark,2012,E09000028,151200.0,5500.0,3700.0,,29500.0,,,96100.0,289200.0,52.3,1.9,1.3,,10.2,,,33.2
Southwark,2013,E09000028,160300.0,5300.0,3900.0,,31000.0,,,90700.0,294200.0,54.5,1.8,1.3,,10.5,,,30.8
Southwark,2014,E09000028,154400.0,4500.0,4800.0,,34800.0,,3100.0,96000.0,299900.0,51.5,1.5,1.6,,11.6,,1.0,32.0
Southwark,2015,E09000028,161100.0,4100.0,4100.0,,24800.0,,5200.0,104700.0,305100.0,52.8,1.3,1.4,,8.1,,1.7,34.3
Southwark,2016,E09000028,154800.0,4800.0,7000.0,,27800.0,,5100.0,109000.0,308500.0,50.2,1.6,2.3,,9.0,,1.7,35.3
Southwark,2017,E09000028,162300.0,,,,21200.0,,6400.0,120800.0,310700.0,52.2,,,,6.8,,2.1,38.9
Southwark,2018,E09000028,159300.0,,,,18300.0,,7700.0,130000.0,315300.0,50.5,,,,5.8,,2.4,41.2
Sutton,2004,E09000029,132500.0,,4800.0,,,,4600.0,31200.0,173100.0,76.6,,2.7,,,,2.7,18.0
Sutton,2005,E09000029,129700.0,,7300.0,,3200.0,,3200.0,36900.0,180400.0,71.9,,4.0,,1.8,,1.8,20.5
Sutton,2006,E09000029,125400.0,3400.0,3500.0,,6600.0,,8000.0,34500.0,181400.0,69.1,1.9,1.9,,3.6,,4.4,19.0
Sutton,2007,E09000029,115100.0,2900.0,4900.0,,9000.0,,11000.0,38600.0,181600.0,63.4,1.6,2.7,,5.0,,6.1,21.2
Sutton,2008,E09000029,123900.0,,4800.0,,3100.0,,7500.0,44600.0,183900.0,67.4,,2.6,,1.7,,4.1,24.3
Sutton,2009,E09000029,120200.0,3600.0,6200.0,,8500.0,,5500.0,42800.0,186700.0,64.4,1.9,3.3,,4.5,,2.9,22.9
Sutton,2010,E09000029,122900.0,3500.0,7400.0,,6600.0,,3400.0,44100.0,187900.0,65.4,1.9,3.9,,3.5,,1.8,23.5
Sutton,2011,E09000029,118000.0,3500.0,6000.0,,4200.0,,2900.0,54100.0,188700.0,62.5,1.8,3.2,,2.2,,1.5,28.6
Sutton,2012,E09000029,115700.0,2800.0,8800.0,,9400.0,,,52400.0,191700.0,60.4,1.5,4.6,,4.9,,,27.3
Sutton,2013,E09000029,111000.0,,9200.0,,12900.0,,,58500.0,194300.0,57.1,,4.7,,6.6,,,30.1
Sutton,2014,E09000029,106000.0,,12600.0,,8100.0,,,65900.0,196400.0,54.0,,6.4,,4.1,,,33.5
Sutton,2015,E09000029,104000.0,,9700.0,,12900.0,,,67100.0,198200.0,52.5,,4.9,,6.5,,,33.9
Sutton,2016,E09000029,115200.0,,10300.0,,14500.0,,6000.0,53300.0,199400.0,57.8,,5.2,,7.3,,3.0,26.8
Sutton,2017,E09000029,106300.0,,15400.0,,17900.0,,2500.0,58100.0,200200.0,53.1,,7.7,,8.9,,1.3,29.0
Sutton,2018,E09000029,99100.0,,16700.0,,14700.0,,4300.0,68300.0,203000.0,48.8,,8.2,,7.3,,2.1,33.6
Tower Hamlets,2004,E09000030,90900.0,,,1700.0,76700.0,,4500.0,29200.0,203100.0,44.8,,,0.8,37.8,,2.2,14.4
Tower Hamlets,2005,E09000030,87200.0,,2700.0,1800.0,90400.0,,2800.0,27100.0,211900.0,41.1,,1.3,0.9,42.6,,1.3,12.8
Tower Hamlets,2006,E09000030,76100.0,2300.0,,,95900.0,,5600.0,36600.0,216400.0,35.1,1.1,,,44.3,,2.6,16.9
Tower Hamlets,2007,E09000030,91100.0,,2800.0,,90100.0,,5300.0,33300.0,222600.0,40.9,,1.2,,40.5,,2.4,15.0
Tower Hamlets,2008,E09000030,91800.0,2600.0,3400.0,,99700.0,,3400.0,29200.0,230100.0,39.9,1.1,1.5,,43.3,,1.5,12.7
Tower Hamlets,2009,E09000030,85700.0,,,,113200.0,,6200.0,32600.0,237800.0,36.0,,,,47.6,,2.6,13.7
Tower Hamlets,2010,E09000030,82900.0,,6500.0,,113600.0,,7300.0,35100.0,245500.0,33.8,,2.6,,46.3,,3.0,14.3
Tower Hamlets,2011,E09000030,72100.0,2800.0,5000.0,,114400.0,,6800.0,49400.0,250500.0,28.8,1.1,2.0,,45.7,,2.7,19.7
Tower Hamlets,2012,E09000030,76100.0,6300.0,7200.0,,109200.0,,7200.0,52400.0,260600.0,29.2,2.4,2.8,,41.9,,2.8,20.1
Tower Hamlets,2013,E09000030,79600.0,5000.0,4600.0,,118100.0,,4800.0,57800.0,272300.0,29.2,1.8,1.7,,43.4,,1.8,21.2
Tower Hamlets,2014,E09000030,78800.0,4300.0,5600.0,,129100.0,,,60800.0,283300.0,27.8,1.5,2.0,,45.6,,,21.4
Tower Hamlets,2015,E09000030,82800.0,,8100.0,,133200.0,,,59900.0,290900.0,28.5,,2.8,,45.8,,,20.6
Tower Hamlets,2016,E09000030,88000.0,,,,122900.0,,16700.0,70800.0,298500.0,29.5,,,,41.2,,5.6,23.7
Tower Hamlets,2017,E09000030,79500.0,,10600.0,,123400.0,,9500.0,81400.0,304400.0,26.1,,3.5,,40.5,,3.1,26.7
Tower Hamlets,2018,E09000030,86200.0,,8700.0,,123700.0,,10900.0,84600.0,314000.0,27.5,,2.8,,39.4,,3.5,26.9
Waltham Forest,2004,E09000031,129000.0,,3900.0,,44000.0,,2400.0,34700.0,214000.0,60.3,,1.8,,20.6,,1.1,16.2
Waltham Forest,2005,E09000031,134700.0,,4200.0,,54400.0,,3900.0,27900.0,225100.0,59.8,,1.9,,24.2,,1.7,12.4
Waltham Forest,2006,E09000031,133500.0,3000.0,6300.0,,43600.0,,4000.0,38300.0,228600.0,58.4,1.3,2.8,,19.1,,1.8,16.7
Waltham Forest,2007,E09000031,138400.0,,5800.0,,52800.0,,5900.0,30800.0,233700.0,59.2,,2.5,,22.6,,2.5,13.2
Waltham Forest,2008,E09000031,134700.0,,4500.0,,58600.0,,5600.0,37000.0,240400.0,56.0,,1.9,,24.4,,2.3,15.4
Waltham Forest,2009,E09000031,138700.0,,8800.0,,47100.0,,6500.0,45400.0,246500.0,56.3,,3.6,,19.1,,2.7,18.4
Waltham Forest,2010,E09000031,150600.0,,6500.0,,44500.0,,9400.0,41100.0,252200.0,59.7,,2.6,,17.7,,3.7,16.3
Waltham Forest,2011,E09000031,139900.0,,8400.0,,48200.0,5600.0,7800.0,44100.0,254000.0,55.1,,3.3,,19.0,2.2,3.1,17.4
Waltham Forest,2012,E09000031,142100.0,,7000.0,,56600.0,,,47500.0,260500.0,54.5,,2.7,,21.7,,,18.2
Waltham Forest,2013,E09000031,143000.0,,8400.0,,58000.0,,3100.0,47800.0,263700.0,54.2,,3.2,,22.0,,1.2,18.1
Waltham Forest,2014,E09000031,127400.0,,,,70800.0,,4400.0,54000.0,265500.0,48.0,,,,26.7,,1.7,20.3
Waltham Forest,2015,E09000031,135500.0,5800.0,5200.0,,55100.0,,,61800.0,267500.0,50.7,2.2,1.9,,20.6,,,23.1
Waltham Forest,2016,E09000031,143600.0,5300.0,,,52200.0,,9400.0,61200.0,271700.0,52.9,1.9,,,19.2,,3.5,22.5
Waltham Forest,2017,E09000031,131000.0,4300.0,4500.0,,56300.0,,4600.0,72400.0,273000.0,48.0,1.6,1.7,,20.6,,1.7,26.5
Waltham Forest,2018,E09000031,109100.0,,,4100.0,62300.0,,13000.0,87200.0,275700.0,39.6,,,1.5,22.6,,4.7,31.6
Wandsworth,2004,E09000032,181800.0,,8700.0,,15700.0,,16000.0,40200.0,262400.0,69.3,,3.3,,6.0,,6.1,15.3
Wandsworth,2005,E09000032,184700.0,,4400.0,,23400.0,,17800.0,47400.0,277600.0,66.5,,1.6,,8.4,,6.4,17.1
Wandsworth,2006,E09000032,179100.0,,,,19400.0,,20300.0,64200.0,283000.0,63.3,,,,6.9,,7.2,22.7
Wandsworth,2007,E09000032,198900.0,,,,22000.0,,13500.0,53700.0,288100.0,69.1,,,,7.6,,4.7,18.6
Wandsworth,2008,E09000032,190800.0,,8700.0,,19600.0,,9500.0,61000.0,289700.0,65.9,,3.0,,6.8,,3.3,21.1
Wandsworth,2009,E09000032,176000.0,,,,24400.0,,15100.0,80000.0,295400.0,59.6,,,,8.3,,5.1,27.1
Wandsworth,2010,E09000032,183800.0,,10200.0,,32400.0,,13000.0,59300.0,298800.0,61.5,,3.4,,10.8,,4.4,19.9
Wandsworth,2011,E09000032,177700.0,,6000.0,,28100.0,,7400.0,82400.0,301600.0,58.9,,2.0,,9.3,,2.5,27.3
Wandsworth,2012,E09000032,185000.0,,6000.0,,22500.0,,4800.0,82300.0,304700.0,60.7,,2.0,,7.4,,1.6,27.0
Wandsworth,2013,E09000032,170800.0,,11800.0,,15600.0,,6300.0,97500.0,305800.0,55.8,,3.8,,5.1,,2.0,31.9
Wandsworth,2014,E09000032,138800.0,,9300.0,,32100.0,,8400.0,116300.0,308000.0,45.1,,3.0,,10.4,,2.7,37.7
Wandsworth,2015,E09000032,149000.0,4100.0,9000.0,,28700.0,,8900.0,105900.0,307300.0,48.5,1.3,2.9,,9.3,,2.9,34.4
Wandsworth,2016,E09000032,160200.0,,,,27300.0,,16000.0,111000.0,314500.0,50.9,,,,8.7,,5.1,35.3
Wandsworth,2017,E09000032,161800.0,,10400.0,,19600.0,,14000.0,111700.0,317400.0,51.0,,3.3,,6.2,,4.4,35.2
Wandsworth,2018,E09000032,171300.0,,,,20300.0,,14600.0,113500.0,319700.0,53.6,,,,6.3,,4.6,35.5
Westminster,2004,E09000033,118100.0,,4500.0,8200.0,37500.0,,5100.0,31200.0,204500.0,57.7,,2.2,4.0,18.3,,2.5,15.2
Westminster,2005,E09000033,116700.0,,3400.0,8300.0,40800.0,,7900.0,35700.0,212800.0,54.9,,1.6,3.9,19.2,,3.7,16.8
Westminster,2006,E09000033,120200.0,,6100.0,5600.0,50500.0,,6300.0,28300.0,217000.0,55.4,,2.8,2.6,23.3,,2.9,13.1
Westminster,2007,E09000033,114400.0,,7400.0,8700.0,52400.0,,5100.0,30600.0,218600.0,52.3,,3.4,4.0,24.0,,2.4,14.0
Westminster,2008,E09000033,110700.0,7600.0,,7600.0,46100.0,,6300.0,35000.0,213300.0,51.9,3.6,,3.5,21.6,,2.9,16.4
Westminster,2009,E09000033,114200.0,6700.0,,10600.0,43200.0,,4700.0,35100.0,214500.0,53.2,3.1,,4.9,20.1,,2.2,16.4
Westminster,2010,E09000033,98200.0,4400.0,3300.0,6500.0,48000.0,,5600.0,47400.0,213400.0,46.0,2.1,1.5,3.1,22.5,,2.6,22.2
