,,Code,Total,United Kingdom,Non-United Kingdom,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
,,,,,,European Union,European Union EU14,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Asia,Asia,Asia,Asia,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World
,,,,,,,,,,,,,All,Middle East and Central Asia,East Asia,South Asia,South East Asia,All,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
Borough,Year,,,,,,,,,,,,,,,,,,,,,,
Enfield,2015,E09000010,326.0,211.0,114.0,34.0,13.0,12.0,4.0,4.0,80.0,18.0,18.0,5.0,1.0,10.0,2.0,45.0,34.0,4.0,,7.0,
Enfield,2016,E09000010,332.0,212.0,120.0,34.0,12.0,12.0,5.0,6.0,86.0,26.0,18.0,3.0,2.0,11.0,1.0,43.0,30.0,4.0,,9.0,
Enfield,2017,E09000010,336.0,223.0,114.0,37.0,13.0,8.0,8.0,8.0,77.0,24.0,24.0,3.0,1.0,16.0,3.0,30.0,20.0,1.0,,7.0,
Enfield,2018,E09000010,337.0,213.0,124.0,41.0,16.0,4.0,11.0,11.0,83.0,17.0,22.0,4.0,3.0,15.0,1.0,43.0,26.0,,,15.0,
Greenwich,2004,E09000011,225.0,175.0,50.0,10.0,7.0,3.0,,,40.0,2.0,11.0,1.0,2.0,5.0,3.0,27.0,19.0,1.0,1.0,4.0,2.0
Greenwich,2005,E09000011,228.0,177.0,51.0,11.0,7.0,3.0,,1.0,40.0,4.0,13.0,2.0,3.0,6.0,2.0,23.0,16.0,,1.0,5.0,1.0
Greenwich,2006,E09000011,232.0,182.0,49.0,11.0,8.0,1.0,,2.0,39.0,5.0,11.0,3.0,1.0,4.0,3.0,23.0,17.0,,1.0,3.0,2.0
Greenwich,2007,E09000011,234.0,173.0,61.0,11.0,7.0,4.0,,,50.0,3.0,18.0,4.0,3.0,8.0,2.0,29.0,22.0,1.0,1.0,4.0,1.0
Greenwich,2008,E09000011,237.0,176.0,61.0,10.0,7.0,2.0,1.0,,51.0,3.0,16.0,,2.0,9.0,4.0,32.0,25.0,1.0,1.0,4.0,1.0
Greenwich,2009,E09000011,241.0,174.0,68.0,16.0,12.0,2.0,1.0,,52.0,2.0,19.0,1.0,3.0,10.0,6.0,30.0,23.0,1.0,2.0,2.0,1.0
Greenwich,2010,E09000011,247.0,166.0,80.0,22.0,11.0,4.0,6.0,1.0,58.0,4.0,24.0,2.0,7.0,12.0,4.0,30.0,20.0,1.0,2.0,6.0,
Greenwich,2011,E09000011,253.0,167.0,86.0,26.0,8.0,13.0,4.0,1.0,60.0,1.0,24.0,2.0,4.0,14.0,4.0,35.0,25.0,,2.0,7.0,1.0
Greenwich,2012,E09000011,258.0,166.0,91.0,27.0,11.0,13.0,1.0,1.0,65.0,6.0,23.0,3.0,1.0,13.0,6.0,36.0,25.0,,2.0,6.0,2.0
Greenwich,2013,E09000011,262.0,179.0,83.0,20.0,7.0,7.0,4.0,2.0,63.0,4.0,31.0,2.0,4.0,21.0,4.0,28.0,23.0,,1.0,3.0,
Greenwich,2014,E09000011,267.0,179.0,88.0,22.0,7.0,10.0,3.0,1.0,66.0,4.0,27.0,6.0,4.0,15.0,1.0,36.0,25.0,,4.0,5.0,2.0
Greenwich,2015,E09000011,271.0,174.0,96.0,27.0,12.0,11.0,2.0,1.0,70.0,7.0,27.0,4.0,2.0,19.0,2.0,35.0,26.0,,3.0,5.0,1.0
Greenwich,2016,E09000011,276.0,177.0,98.0,25.0,11.0,10.0,4.0,,73.0,2.0,32.0,4.0,5.0,19.0,4.0,39.0,29.0,,2.0,7.0,
Greenwich,2017,E09000011,280.0,187.0,93.0,29.0,13.0,11.0,3.0,2.0,64.0,5.0,18.0,,3.0,11.0,3.0,41.0,29.0,,4.0,6.0,1.0
Greenwich,2018,E09000011,285.0,190.0,94.0,29.0,15.0,9.0,4.0,1.0,65.0,6.0,22.0,,4.0,14.0,3.0,36.0,26.0,,3.0,6.0,1.0
Hackney,2004,E09000012,212.0,137.0,75.0,15.0,12.0,1.0,,2.0,60.0,9.0,14.0,3.0,1.0,8.0,2.0,38.0,19.0,1.0,2.0,14.0,2.0
Hackney,2005,E09000012,215.0,133.0,83.0,19.0,15.0,3.0,,1.0,63.0,9.0,14.0,3.0,2.0,6.0,2.0,40.0,17.0,1.0,3.0,17.0,2.0
Hackney,2006,E09000012,219.0,134.0,84.0,22.0,15.0,5.0,,2.0,62.0,10.0,14.0,2.0,3.0,6.0,2.0,38.0,20.0,2.0,1.0,14.0,1.0
Hackney,2007,E09000012,223.0,138.0,85.0,19.0,10.0,7.0,,2.0,66.0,11.0,16.0,3.0,2.0,8.0,3.0,39.0,21.0,1.0,1.0,14.0,2.0
Hackney,2008,E09000012,230.0,148.0,82.0,21.0,14.0,5.0,1.0,2.0,60.0,7.0,13.0,1.0,1.0,7.0,4.0,41.0,20.0,1.0,2.0,16.0,2.0
Hackney,2009,E09000012,236.0,149.0,86.0,20.0,13.0,6.0,,1.0,65.0,6.0,19.0,3.0,2.0,10.0,5.0,40.0,17.0,1.0,2.0,17.0,3.0
Hackney,2010,E09000012,241.0,160.0,81.0,18.0,12.0,4.0,2.0,1.0,62.0,9.0,14.0,1.0,4.0,4.0,5.0,39.0,20.0,2.0,2.0,11.0,3.0
Hackney,2011,E09000012,246.0,151.0,95.0,23.0,16.0,4.0,2.0,2.0,72.0,13.0,14.0,3.0,3.0,5.0,3.0,45.0,20.0,,2.0,18.0,5.0
Hackney,2012,E09000012,251.0,155.0,95.0,27.0,21.0,3.0,2.0,1.0,67.0,11.0,18.0,4.0,3.0,10.0,2.0,38.0,18.0,1.0,3.0,13.0,2.0
Hackney,2013,E09000012,256.0,154.0,100.0,25.0,17.0,5.0,1.0,1.0,75.0,13.0,19.0,5.0,1.0,8.0,5.0,43.0,23.0,,3.0,13.0,4.0
Hackney,2014,E09000012,261.0,159.0,100.0,28.0,20.0,4.0,1.0,2.0,72.0,11.0,19.0,4.0,1.0,9.0,4.0,42.0,21.0,2.0,4.0,12.0,3.0
Hackney,2015,E09000012,268.0,172.0,96.0,30.0,20.0,6.0,3.0,1.0,66.0,12.0,19.0,5.0,2.0,7.0,5.0,36.0,17.0,3.0,4.0,9.0,2.0
Hackney,2016,E09000012,272.0,174.0,98.0,27.0,18.0,7.0,2.0,,71.0,8.0,18.0,3.0,3.0,8.0,4.0,45.0,18.0,3.0,3.0,14.0,7.0
Hackney,2017,E09000012,277.0,171.0,106.0,28.0,19.0,6.0,1.0,1.0,77.0,9.0,21.0,4.0,5.0,9.0,3.0,48.0,20.0,4.0,7.0,11.0,7.0
Hackney,2018,E09000012,281.0,177.0,104.0,28.0,25.0,3.0,,,76.0,7.0,21.0,4.0,4.0,10.0,4.0,48.0,25.0,4.0,5.0,10.0,4.0
Hammersmith and Fulham,2004,E09000013,170.0,105.0,65.0,21.0,18.0,2.0,,,44.0,4.0,15.0,5.0,4.0,3.0,3.0,26.0,9.0,1.0,4.0,7.0,5.0
Hammersmith and Fulham,2005,E09000013,172.0,107.0,65.0,20.0,17.0,3.0,,,44.0,3.0,12.0,3.0,3.0,3.0,3.0,30.0,9.0,2.0,4.0,8.0,7.0
Hammersmith and Fulham,2006,E09000013,173.0,109.0,64.0,21.0,17.0,3.0,,,43.0,4.0,11.0,4.0,1.0,5.0,1.0,28.0,10.0,2.0,3.0,6.0,6.0
Hammersmith and Fulham,2007,E09000013,175.0,109.0,66.0,23.0,19.0,4.0,,,43.0,3.0,11.0,2.0,2.0,3.0,4.0,29.0,10.0,1.0,3.0,9.0,6.0
Hammersmith and Fulham,2008,E09000013,175.0,111.0,65.0,23.0,19.0,4.0,,,42.0,5.0,12.0,3.0,1.0,4.0,3.0,26.0,9.0,2.0,3.0,7.0,5.0
Hammersmith and Fulham,2009,E09000013,178.0,105.0,73.0,20.0,15.0,3.0,,1.0,53.0,5.0,14.0,7.0,3.0,3.0,2.0,35.0,13.0,3.0,5.0,8.0,6.0
Hammersmith and Fulham,2010,E09000013,179.0,116.0,63.0,20.0,15.0,5.0,,0.0,42.0,2.0,15.0,5.0,3.0,4.0,3.0,25.0,9.0,3.0,3.0,5.0,5.0
Hammersmith and Fulham,2011,E09000013,181.0,106.0,73.0,25.0,21.0,2.0,1.0,1.0,48.0,4.0,15.0,5.0,2.0,5.0,3.0,29.0,12.0,2.0,3.0,5.0,6.0
Hammersmith and Fulham,2012,E09000013,178.0,106.0,72.0,21.0,17.0,3.0,,1.0,51.0,3.0,14.0,6.0,2.0,4.0,2.0,33.0,11.0,3.0,4.0,8.0,6.0
Hammersmith and Fulham,2013,E09000013,177.0,103.0,74.0,31.0,24.0,5.0,1.0,1.0,43.0,3.0,14.0,7.0,1.0,4.0,3.0,26.0,10.0,1.0,4.0,8.0,3.0
Hammersmith and Fulham,2014,E09000013,176.0,103.0,73.0,27.0,22.0,4.0,,1.0,46.0,5.0,17.0,5.0,1.0,8.0,3.0,24.0,9.0,2.0,4.0,6.0,3.0
Hammersmith and Fulham,2015,E09000013,176.0,100.0,76.0,30.0,24.0,4.0,2.0,1.0,45.0,5.0,16.0,4.0,5.0,5.0,1.0,25.0,11.0,2.0,3.0,7.0,2.0
Hammersmith and Fulham,2016,E09000013,181.0,98.0,82.0,31.0,26.0,3.0,,1.0,52.0,3.0,19.0,8.0,5.0,4.0,2.0,30.0,15.0,2.0,5.0,7.0,2.0
Hammersmith and Fulham,2017,E09000013,182.0,100.0,82.0,32.0,25.0,5.0,2.0,,50.0,5.0,19.0,5.0,5.0,5.0,4.0,26.0,7.0,1.0,6.0,6.0,6.0
Hammersmith and Fulham,2018,E09000013,180.0,102.0,78.0,26.0,18.0,4.0,3.0,,53.0,3.0,21.0,4.0,7.0,4.0,5.0,29.0,10.0,1.0,6.0,11.0,1.0
Haringey,2004,E09000014,225.0,138.0,87.0,20.0,12.0,3.0,,5.0,66.0,17.0,15.0,2.0,3.0,9.0,1.0,34.0,21.0,,2.0,10.0,2.0
Haringey,2005,E09000014,228.0,146.0,82.0,25.0,10.0,9.0,,5.0,57.0,14.0,12.0,1.0,,8.0,2.0,30.0,17.0,,2.0,10.0,1.0
Haringey,2006,E09000014,232.0,147.0,85.0,25.0,14.0,8.0,,3.0,60.0,14.0,11.0,2.0,,7.0,1.0,34.0,17.0,1.0,3.0,11.0,2.0
Haringey,2007,E09000014,235.0,146.0,89.0,22.0,11.0,6.0,1.0,3.0,67.0,12.0,19.0,4.0,4.0,8.0,3.0,35.0,18.0,1.0,3.0,11.0,2.0
Haringey,2008,E09000014,243.0,146.0,97.0,28.0,15.0,6.0,4.0,4.0,68.0,13.0,16.0,4.0,3.0,6.0,3.0,40.0,23.0,2.0,4.0,9.0,2.0
Haringey,2009,E09000014,248.0,143.0,104.0,29.0,13.0,11.0,3.0,2.0,76.0,10.0,20.0,4.0,5.0,9.0,2.0,45.0,27.0,2.0,3.0,10.0,4.0
Haringey,2010,E09000014,251.0,145.0,104.0,32.0,13.0,11.0,6.0,1.0,72.0,11.0,19.0,4.0,2.0,10.0,2.0,43.0,22.0,2.0,2.0,15.0,3.0
Haringey,2011,E09000014,254.0,143.0,111.0,38.0,13.0,16.0,5.0,4.0,73.0,11.0,18.0,6.0,,10.0,2.0,43.0,21.0,,3.0,16.0,2.0
Haringey,2012,E09000014,258.0,155.0,101.0,39.0,17.0,13.0,5.0,4.0,62.0,12.0,16.0,3.0,2.0,9.0,2.0,35.0,13.0,,7.0,12.0,2.0
Haringey,2013,E09000014,260.0,164.0,94.0,34.0,18.0,8.0,5.0,2.0,60.0,13.0,12.0,2.0,3.0,5.0,1.0,35.0,16.0,1.0,4.0,12.0,3.0
Haringey,2014,E09000014,263.0,159.0,104.0,44.0,17.0,11.0,13.0,3.0,59.0,13.0,12.0,2.0,2.0,6.0,2.0,35.0,19.0,,2.0,10.0,3.0
Haringey,2015,E09000014,270.0,162.0,107.0,45.0,16.0,12.0,12.0,5.0,63.0,11.0,15.0,2.0,3.0,8.0,2.0,37.0,21.0,1.0,3.0,8.0,4.0
Haringey,2016,E09000014,275.0,168.0,107.0,43.0,17.0,16.0,8.0,2.0,64.0,14.0,13.0,5.0,3.0,4.0,2.0,36.0,18.0,1.0,3.0,12.0,3.0
Haringey,2017,E09000014,278.0,163.0,115.0,53.0,26.0,17.0,9.0,1.0,61.0,13.0,14.0,3.0,4.0,5.0,1.0,34.0,19.0,1.0,4.0,7.0,3.0
Haringey,2018,E09000014,276.0,168.0,108.0,49.0,29.0,15.0,3.0,2.0,59.0,13.0,12.0,2.0,3.0,5.0,2.0,34.0,14.0,1.0,3.0,12.0,4.0
Harrow,2004,E09000015,215.0,137.0,77.0,15.0,12.0,2.0,,1.0,62.0,3.0,28.0,3.0,2.0,22.0,1.0,30.0,23.0,,2.0,3.0,1.0
Harrow,2005,E09000015,219.0,141.0,78.0,11.0,9.0,1.0,,,67.0,1.0,36.0,3.0,2.0,31.0,,29.0,22.0,1.0,2.0,3.0,1.0
Harrow,2006,E09000015,222.0,133.0,88.0,11.0,10.0,,,,78.0,2.0,38.0,2.0,2.0,34.0,1.0,37.0,29.0,,1.0,5.0,
Harrow,2007,E09000015,225.0,132.0,92.0,13.0,8.0,2.0,2.0,1.0,79.0,,45.0,5.0,1.0,37.0,2.0,33.0,27.0,1.0,1.0,4.0,1.0
Harrow,2008,E09000015,228.0,126.0,101.0,18.0,8.0,5.0,3.0,1.0,83.0,2.0,45.0,6.0,1.0,35.0,3.0,36.0,31.0,1.0,1.0,3.0,1.0
Harrow,2009,E09000015,231.0,125.0,106.0,26.0,12.0,6.0,7.0,1.0,80.0,3.0,40.0,4.0,2.0,31.0,3.0,37.0,29.0,2.0,2.0,4.0,
Harrow,2010,E09000015,235.0,132.0,103.0,21.0,13.0,4.0,4.0,,82.0,4.0,47.0,3.0,3.0,39.0,2.0,31.0,22.0,3.0,2.0,4.0,
Harrow,2011,E09000015,238.0,130.0,108.0,26.0,15.0,6.0,4.0,1.0,82.0,2.0,50.0,4.0,2.0,42.0,1.0,30.0,24.0,2.0,2.0,2.0,
Harrow,2012,E09000015,240.0,121.0,119.0,25.0,12.0,5.0,8.0,,94.0,2.0,60.0,10.0,2.0,46.0,2.0,33.0,26.0,1.0,2.0,2.0,1.0
Harrow,2013,E09000015,243.0,122.0,121.0,27.0,8.0,4.0,14.0,,94.0,2.0,61.0,9.0,3.0,42.0,6.0,31.0,23.0,1.0,4.0,3.0,1.0
Harrow,2014,E09000015,245.0,121.0,124.0,27.0,9.0,7.0,10.0,,97.0,2.0,66.0,15.0,2.0,46.0,3.0,29.0,24.0,1.0,1.0,3.0,
Harrow,2015,E09000015,246.0,124.0,122.0,31.0,11.0,11.0,9.0,1.0,91.0,1.0,57.0,12.0,2.0,41.0,2.0,32.0,27.0,,1.0,3.0,
Harrow,2016,E09000015,250.0,117.0,133.0,41.0,14.0,9.0,16.0,2.0,92.0,2.0,55.0,5.0,2.0,47.0,1.0,36.0,28.0,2.0,2.0,4.0,
Harrow,2017,E09000015,252.0,127.0,125.0,43.0,12.0,8.0,22.0,1.0,82.0,3.0,48.0,7.0,,39.0,1.0,31.0,24.0,2.0,1.0,5.0,
Harrow,2018,E09000015,249.0,138.0,110.0,36.0,9.0,7.0,20.0,,74.0,4.0,47.0,7.0,1.0,37.0,2.0,24.0,15.0,2.0,,6.0,
Havering,2004,E09000016,224.0,210.0,15.0,3.0,2.0,,,1.0,11.0,,5.0,,2.0,2.0,1.0,6.0,4.0,,1.0,,
Havering,2005,E09000016,225.0,211.0,15.0,3.0,2.0,,,,12.0,2.0,5.0,,1.0,4.0,,5.0,2.0,,,2.0,
Havering,2006,E09000016,227.0,209.0,17.0,6.0,5.0,1.0,,,11.0,2.0,3.0,,,2.0,,7.0,4.0,,,2.0,
Havering,2007,E09000016,228.0,210.0,18.0,6.0,6.0,,,,13.0,1.0,5.0,,,3.0,1.0,6.0,5.0,,,1.0,
Havering,2008,E09000016,230.0,208.0,22.0,4.0,3.0,,,,18.0,2.0,7.0,1.0,1.0,4.0,,10.0,8.0,,,1.0,
Havering,2009,E09000016,233.0,214.0,18.0,3.0,3.0,,,1.0,15.0,1.0,6.0,,1.0,4.0,,8.0,7.0,,,2.0,
Havering,2010,E09000016,235.0,216.0,19.0,4.0,3.0,,1.0,,15.0,,6.0,,1.0,3.0,1.0,9.0,7.0,,,3.0,
Havering,2011,E09000016,236.0,214.0,22.0,7.0,3.0,1.0,2.0,,16.0,,5.0,,,4.0,1.0,10.0,9.0,,,,
Havering,2012,E09000016,238.0,215.0,24.0,9.0,5.0,1.0,2.0,,15.0,,4.0,,,3.0,1.0,10.0,6.0,,2.0,2.0,
Havering,2013,E09000016,240.0,213.0,27.0,10.0,4.0,2.0,3.0,,17.0,2.0,8.0,,,6.0,1.0,8.0,5.0,,1.0,1.0,
Havering,2014,E09000016,241.0,213.0,29.0,12.0,5.0,4.0,3.0,,16.0,,8.0,,,7.0,1.0,8.0,6.0,,,1.0,
Havering,2015,E09000016,248.0,221.0,27.0,10.0,3.0,4.0,3.0,,17.0,2.0,5.0,1.0,,4.0,1.0,10.0,6.0,,2.0,1.0,
Havering,2016,E09000016,250.0,214.0,36.0,15.0,5.0,5.0,5.0,,20.0,3.0,8.0,,2.0,3.0,2.0,9.0,6.0,1.0,,2.0,
Havering,2017,E09000016,253.0,218.0,35.0,16.0,8.0,4.0,4.0,,18.0,3.0,8.0,,,5.0,2.0,8.0,6.0,,,,
Havering,2018,E09000016,258.0,231.0,27.0,10.0,4.0,3.0,3.0,,17.0,2.0,6.0,,,4.0,2.0,10.0,6.0,,,3.0,
Hillingdon,2004,E09000017,246.0,192.0,55.0,16.0,11.0,4.0,,,39.0,2.0,20.0,1.0,1.0,15.0,2.0,16.0,12.0,1.0,2.0,1.0,
Hillingdon,2005,E09000017,249.0,189.0,60.0,15.0,12.0,2.0,,1.0,45.0,3.0,22.0,3.0,1.0,17.0,1.0,21.0,12.0,3.0,4.0,1.0,1.0
Hillingdon,2006,E09000017,252.0,199.0,53.0,15.0,12.0,2.0,,1.0,39.0,,20.0,2.0,,15.0,2.0,19.0,11.0,2.0,1.0,3.0,1.0
Hillingdon,2007,E09000017,255.0,191.0,63.0,17.0,9.0,5.0,2.0,1.0,47.0,2.0,31.0,6.0,3.0,20.0,2.0,13.0,9.0,1.0,,2.0,1.0
Hillingdon,2008,E09000017,259.0,185.0,72.0,16.0,9.0,4.0,1.0,2.0,57.0,1.0,39.0,7.0,4.0,26.0,2.0,17.0,14.0,1.0,,2.0,
Hillingdon,2009,E09000017,263.0,186.0,76.0,17.0,8.0,7.0,,1.0,59.0,1.0,40.0,9.0,2.0,26.0,2.0,18.0,15.0,,2.0,1.0,
Hillingdon,2010,E09000017,267.0,193.0,73.0,16.0,8.0,7.0,,,58.0,2.0,37.0,4.0,,31.0,2.0,19.0,13.0,2.0,,2.0,
Hillingdon,2011,E09000017,273.0,193.0,80.0,22.0,10.0,10.0,1.0,,58.0,1.0,39.0,6.0,,31.0,1.0,19.0,14.0,,,3.0,1.0
Hillingdon,2012,E09000017,279.0,194.0,85.0,22.0,9.0,7.0,5.0,,63.0,1.0,43.0,3.0,2.0,35.0,3.0,19.0,11.0,2.0,2.0,2.0,1.0
Hillingdon,2013,E09000017,284.0,199.0,86.0,13.0,5.0,6.0,2.0,,73.0,3.0,51.0,8.0,2.0,37.0,4.0,19.0,13.0,,1.0,5.0,
Hillingdon,2014,E09000017,290.0,194.0,96.0,25.0,9.0,11.0,5.0,,71.0,2.0,40.0,9.0,,29.0,3.0,28.0,22.0,1.0,1.0,4.0,
Hillingdon,2015,E09000017,296.0,200.0,96.0,19.0,9.0,9.0,1.0,,77.0,1.0,45.0,7.0,,36.0,,31.0,25.0,2.0,1.0,3.0,
Hillingdon,2016,E09000017,302.0,203.0,99.0,31.0,12.0,14.0,5.0,,67.0,2.0,43.0,7.0,2.0,29.0,5.0,23.0,15.0,3.0,,4.0,
Hillingdon,2017,E09000017,307.0,203.0,104.0,22.0,7.0,10.0,4.0,,82.0,3.0,59.0,10.0,6.0,38.0,5.0,20.0,11.0,2.0,2.0,3.0,2.0
Hillingdon,2018,E09000017,306.0,195.0,110.0,25.0,8.0,11.0,6.0,,85.0,3.0,61.0,8.0,6.0,45.0,3.0,21.0,15.0,1.0,,2.0,2.0
Hounslow,2004,E09000018,218.0,155.0,63.0,11.0,9.0,2.0,,,51.0,2.0,30.0,2.0,1.0,25.0,2.0,19.0,14.0,1.0,1.0,2.0,1.0
Hounslow,2005,E09000018,222.0,152.0,70.0,9.0,7.0,3.0,,,61.0,2.0,38.0,2.0,,29.0,6.0,21.0,13.0,1.0,,4.0,2.0
Hounslow,2006,E09000018,227.0,153.0,74.0,18.0,10.0,7.0,,1.0,57.0,1.0,36.0,2.0,2.0,27.0,5.0,20.0,14.0,2.0,1.0,2.0,2.0
Hounslow,2007,E09000018,232.0,142.0,90.0,19.0,9.0,8.0,1.0,1.0,71.0,1.0,51.0,10.0,2.0,34.0,5.0,19.0,11.0,,3.0,2.0,2.0
Hounslow,2008,E09000018,237.0,143.0,93.0,21.0,13.0,8.0,,,72.0,1.0,44.0,9.0,1.0,29.0,4.0,27.0,17.0,2.0,2.0,4.0,2.0
Hounslow,2009,E09000018,242.0,148.0,94.0,17.0,8.0,8.0,,,77.0,1.0,47.0,3.0,1.0,36.0,6.0,29.0,18.0,3.0,1.0,3.0,3.0
Hounslow,2010,E09000018,248.0,147.0,101.0,23.0,9.0,13.0,2.0,,78.0,2.0,53.0,8.0,2.0,38.0,6.0,23.0,15.0,2.0,1.0,2.0,3.0
Hounslow,2011,E09000018,254.0,152.0,102.0,25.0,11.0,12.0,2.0,,77.0,3.0,52.0,10.0,2.0,37.0,3.0,22.0,14.0,2.0,1.0,1.0,4.0
Hounslow,2012,E09000018,258.0,147.0,110.0,32.0,12.0,17.0,3.0,,78.0,2.0,54.0,9.0,3.0,40.0,3.0,22.0,12.0,2.0,,3.0,4.0
Hounslow,2013,E09000018,262.0,140.0,122.0,31.0,10.0,21.0,,,91.0,3.0,62.0,7.0,2.0,50.0,3.0,26.0,19.0,,2.0,3.0,2.0
Hounslow,2014,E09000018,267.0,139.0,127.0,39.0,15.0,23.0,,,88.0,5.0,63.0,8.0,3.0,49.0,3.0,20.0,14.0,1.0,2.0,1.0,2.0
Hounslow,2015,E09000018,268.0,143.0,124.0,29.0,14.0,12.0,2.0,,94.0,2.0,63.0,10.0,1.0,48.0,4.0,29.0,20.0,3.0,,2.0,3.0
Hounslow,2016,E09000018,274.0,142.0,132.0,26.0,8.0,10.0,8.0,,106.0,5.0,70.0,10.0,,53.0,7.0,30.0,18.0,4.0,1.0,5.0,3.0
Hounslow,2017,E09000018,278.0,139.0,138.0,32.0,14.0,14.0,4.0,,106.0,5.0,68.0,16.0,1.0,47.0,4.0,33.0,18.0,5.0,4.0,4.0,2.0
Hounslow,2018,E09000018,271.0,152.0,118.0,31.0,20.0,9.0,,,88.0,5.0,53.0,8.0,,42.0,2.0,30.0,19.0,2.0,5.0,3.0,
Islington,2004,E09000019,179.0,123.0,56.0,16.0,12.0,2.0,,2.0,40.0,6.0,11.0,1.0,3.0,6.0,1.0,23.0,12.0,1.0,2.0,5.0,3.0
Islington,2005,E09000019,182.0,125.0,57.0,17.0,14.0,1.0,,2.0,39.0,10.0,8.0,1.0,3.0,4.0,1.0,21.0,8.0,2.0,1.0,6.0,3.0
Islington,2006,E09000019,183.0,120.0,63.0,19.0,15.0,1.0,,3.0,44.0,4.0,11.0,2.0,3.0,5.0,1.0,29.0,12.0,2.0,3.0,7.0,5.0
Islington,2007,E09000019,187.0,132.0,55.0,19.0,14.0,3.0,,3.0,36.0,2.0,11.0,1.0,2.0,7.0,1.0,23.0,7.0,1.0,4.0,9.0,2.0
Islington,2008,E09000019,190.0,129.0,61.0,18.0,15.0,1.0,,2.0,44.0,5.0,14.0,2.0,2.0,6.0,3.0,24.0,8.0,1.0,4.0,7.0,3.0
Islington,2009,E09000019,195.0,140.0,55.0,18.0,15.0,1.0,,1.0,37.0,6.0,11.0,3.0,2.0,3.0,2.0,21.0,9.0,1.0,3.0,4.0,3.0
Islington,2010,E09000019,198.0,141.0,57.0,19.0,17.0,2.0,,1.0,38.0,5.0,10.0,2.0,2.0,4.0,3.0,23.0,11.0,,3.0,5.0,3.0
Islington,2011,E09000019,204.0,134.0,70.0,22.0,17.0,3.0,,1.0,47.0,5.0,16.0,3.0,3.0,7.0,3.0,27.0,11.0,2.0,5.0,5.0,3.0
Islington,2012,E09000019,209.0,137.0,72.0,27.0,22.0,3.0,,2.0,45.0,4.0,16.0,2.0,3.0,7.0,4.0,25.0,11.0,3.0,4.0,5.0,3.0
Islington,2013,E09000019,213.0,145.0,68.0,23.0,19.0,3.0,,1.0,45.0,5.0,12.0,2.0,4.0,4.0,1.0,28.0,14.0,,2.0,8.0,4.0
Islington,2014,E09000019,218.0,138.0,80.0,29.0,24.0,4.0,,2.0,51.0,8.0,17.0,3.0,6.0,6.0,3.0,26.0,10.0,1.0,3.0,5.0,6.0
Islington,2015,E09000019,224.0,142.0,82.0,31.0,24.0,5.0,1.0,2.0,51.0,8.0,18.0,2.0,6.0,6.0,4.0,24.0,14.0,1.0,4.0,2.0,4.0
Islington,2016,E09000019,230.0,143.0,85.0,32.0,26.0,4.0,,2.0,53.0,9.0,17.0,6.0,2.0,7.0,3.0,27.0,14.0,2.0,4.0,4.0,3.0
Islington,2017,E09000019,234.0,158.0,76.0,26.0,18.0,7.0,,,50.0,7.0,18.0,3.0,3.0,7.0,4.0,24.0,10.0,1.0,4.0,7.0,1.0
Islington,2018,E09000019,237.0,159.0,76.0,22.0,18.0,2.0,,,54.0,8.0,16.0,3.0,5.0,6.0,2.0,30.0,10.0,,7.0,8.0,4.0
Kensington and Chelsea,2004,E09000020,163.0,87.0,76.0,28.0,25.0,2.0,,1.0,48.0,6.0,14.0,7.0,1.0,3.0,3.0,28.0,8.0,5.0,8.0,4.0,2.0
Kensington and Chelsea,2005,E09000020,166.0,91.0,75.0,22.0,21.0,0.0,,1.0,52.0,4.0,16.0,6.0,3.0,4.0,3.0,32.0,9.0,3.0,9.0,5.0,5.0
Kensington and Chelsea,2006,E09000020,163.0,89.0,74.0,22.0,20.0,2.0,,,52.0,5.0,20.0,7.0,2.0,6.0,5.0,26.0,7.0,3.0,9.0,4.0,3.0
Kensington and Chelsea,2007,E09000020,161.0,92.0,68.0,19.0,18.0,1.0,,,49.0,5.0,14.0,7.0,1.0,2.0,4.0,30.0,9.0,2.0,8.0,7.0,4.0
Kensington and Chelsea,2008,E09000020,161.0,83.0,78.0,22.0,20.0,1.0,,,56.0,6.0,17.0,6.0,3.0,3.0,5.0,33.0,8.0,3.0,11.0,8.0,3.0
Kensington and Chelsea,2009,E09000020,160.0,85.0,75.0,22.0,19.0,2.0,,1.0,53.0,4.0,18.0,7.0,3.0,2.0,6.0,30.0,11.0,2.0,7.0,7.0,3.0
Kensington and Chelsea,2010,E09000020,159.0,84.0,74.0,23.0,21.0,2.0,,,51.0,3.0,19.0,8.0,2.0,5.0,4.0,28.0,10.0,2.0,6.0,7.0,3.0
Kensington and Chelsea,2011,E09000020,156.0,77.0,79.0,26.0,23.0,3.0,,,52.0,5.0,16.0,4.0,4.0,4.0,4.0,32.0,11.0,4.0,9.0,6.0,2.0
Kensington and Chelsea,2012,E09000020,154.0,76.0,78.0,26.0,23.0,2.0,1.0,,52.0,5.0,20.0,6.0,3.0,5.0,5.0,28.0,6.0,5.0,10.0,5.0,3.0
