,,Code,Total,United Kingdom,Non-United Kingdom,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
,,,,,,European Union,European Union EU14,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Asia,Asia,Asia,Asia,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World
,,,,,,,,,,,,,All,Middle East and Central Asia,East Asia,South Asia,South East Asia,All,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
Borough,Year,,,,,,,,,,,,,,,,,,,,,,
Bexley,2004,E09000004,220.0,200.0,20.0,6.0,5.0,,,1.0,14.0,,6.0,,,5.0,1.0,7.0,5.0,,,1.0,
Bexley,2005,E09000004,221.0,200.0,21.0,5.0,4.0,,,1.0,16.0,,6.0,,1.0,4.0,1.0,10.0,6.0,,,2.0,
Bexley,2006,E09000004,222.0,197.0,25.0,5.0,3.0,1.0,,,21.0,1.0,9.0,,,7.0,1.0,11.0,8.0,,,2.0,
Bexley,2007,E09000004,223.0,200.0,24.0,6.0,5.0,1.0,,,17.0,,5.0,,,4.0,1.0,11.0,10.0,,,1.0,
Bexley,2008,E09000004,226.0,199.0,27.0,6.0,6.0,,,,20.0,1.0,5.0,,1.0,4.0,,14.0,11.0,,,3.0,
Bexley,2009,E09000004,227.0,208.0,19.0,6.0,3.0,2.0,,,13.0,2.0,4.0,,,4.0,,8.0,6.0,,,1.0,
Bexley,2010,E09000004,230.0,202.0,27.0,8.0,5.0,2.0,1.0,,19.0,1.0,6.0,,1.0,4.0,,13.0,8.0,,1.0,3.0,1.0
Bexley,2011,E09000004,232.0,198.0,33.0,10.0,5.0,4.0,1.0,,23.0,1.0,9.0,1.0,2.0,5.0,,13.0,9.0,,1.0,2.0,
Bexley,2012,E09000004,233.0,197.0,36.0,7.0,2.0,4.0,,,29.0,2.0,7.0,1.0,1.0,3.0,1.0,19.0,13.0,,,5.0,
Bexley,2013,E09000004,235.0,196.0,38.0,11.0,3.0,7.0,1.0,,27.0,2.0,7.0,2.0,,2.0,1.0,18.0,13.0,,1.0,3.0,
Bexley,2014,E09000004,236.0,198.0,38.0,9.0,5.0,3.0,,,29.0,2.0,7.0,1.0,2.0,3.0,2.0,20.0,14.0,,2.0,4.0,
Bexley,2015,E09000004,242.0,202.0,39.0,10.0,4.0,3.0,2.0,1.0,29.0,4.0,9.0,,1.0,6.0,1.0,16.0,10.0,,1.0,4.0,1.0
Bexley,2016,E09000004,244.0,196.0,48.0,14.0,7.0,5.0,,2.0,34.0,3.0,13.0,,3.0,9.0,,18.0,15.0,,,2.0,
Bexley,2017,E09000004,247.0,208.0,38.0,10.0,3.0,3.0,3.0,1.0,29.0,4.0,9.0,,2.0,7.0,,16.0,13.0,,,3.0,
Bexley,2018,E09000004,249.0,207.0,42.0,16.0,5.0,9.0,2.0,,26.0,2.0,11.0,1.0,,10.0,,12.0,10.0,,,2.0,
Brent,2004,E09000005,267.0,143.0,123.0,29.0,23.0,6.0,,1.0,94.0,6.0,36.0,6.0,1.0,28.0,1.0,52.0,31.0,2.0,,12.0,6.0
Brent,2005,E09000005,269.0,141.0,127.0,26.0,21.0,3.0,,2.0,101.0,3.0,44.0,6.0,,36.0,2.0,54.0,35.0,,1.0,14.0,3.0
