,,Code,Total,British,Non-British,European Union,European Union,European Union,European Union,European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union,Non-European Union
,,,,,,European Union,European Union EU14,European Union EU8,European Union EU2,European Union Other,All,Other Europe,Asia,Asia,Asia,Asia,Asia,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World,Rest of the World
,,,,,,,,,,,,,All,Middle East and Central Asia,East Asia,South Asia,South East Asia,All,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
Borough,Year,,,,,,,,,,,,,,,,,,,,,,
Bexley,2008,E09000004,226.0,208.0,17.0,6.0,6.0,,,,11.0,1.0,2.0,,,1.0,,8.0,7.0,,,1.0,
Bexley,2009,E09000004,227.0,213.0,14.0,7.0,3.0,3.0,,,7.0,2.0,2.0,,,2.0,,4.0,3.0,,,,
Bexley,2010,E09000004,230.0,211.0,18.0,8.0,5.0,2.0,,,11.0,,3.0,,1.0,2.0,,7.0,5.0,,,1.0,1.0
Bexley,2011,E09000004,232.0,211.0,21.0,9.0,4.0,5.0,1.0,,11.0,2.0,4.0,,2.0,2.0,,5.0,4.0,,,1.0,
Bexley,2012,E09000004,233.0,213.0,20.0,7.0,2.0,5.0,,,13.0,,3.0,,1.0,1.0,,9.0,6.0,,,3.0,
Bexley,2013,E09000004,235.0,208.0,27.0,12.0,2.0,9.0,1.0,,15.0,4.0,2.0,,,,1.0,9.0,7.0,,,1.0,
Bexley,2014,E09000004,236.0,211.0,25.0,10.0,5.0,4.0,,,15.0,3.0,3.0,,2.0,1.0,,9.0,7.0,,,2.0,
Bexley,2015,E09000004,242.0,217.0,24.0,10.0,4.0,3.0,2.0,2.0,14.0,3.0,4.0,,,3.0,,7.0,6.0,,,1.0,
Bexley,2016,E09000004,244.0,217.0,27.0,13.0,6.0,6.0,2.0,,14.0,1.0,5.0,,2.0,3.0,,8.0,8.0,,,,
Bexley,2017,E09000004,247.0,225.0,22.0,10.0,3.0,4.0,3.0,,12.0,1.0,4.0,,1.0,3.0,,7.0,5.0,,,1.0,
Bexley,2018,E09000004,249.0,219.0,29.0,18.0,5.0,11.0,1.0,,12.0,1.0,4.0,,,3.0,,7.0,5.0,,,1.0,
Brent,2004,E09000005,267.0,194.0,73.0,30.0,25.0,5.0,,,43.0,5.0,15.0,2.0,1.0,12.0,,22.0,10.0,1.0,,4.0,6.0
Brent,2005,E09000005,269.0,206.0,63.0,25.0,23.0,2.0,,,38.0,2.0,14.0,2.0,,12.0,,21.0,9.0,,1.0,7.0,3.0
Brent,2006,E09000005,275.0,208.0,67.0,25.0,14.0,10.0,,,42.0,5.0,18.0,5.0,,12.0,,19.0,9.0,,1.0,7.0,
Brent,2007,E09000005,282.0,196.0,86.0,31.0,15.0,11.0,5.0,,55.0,3.0,28.0,11.0,,16.0,1.0,23.0,5.0,,2.0,12.0,4.0
Brent,2008,E09000005,289.0,197.0,93.0,43.0,24.0,15.0,4.0,,50.0,1.0,26.0,6.0,,16.0,3.0,22.0,7.0,2.0,1.0,12.0,
Brent,2009,E09000005,296.0,208.0,88.0,48.0,22.0,13.0,12.0,,40.0,,23.0,4.0,,16.0,2.0,16.0,8.0,,,5.0,1.0
Brent,2010,E09000005,303.0,213.0,90.0,41.0,19.0,14.0,9.0,,48.0,3.0,30.0,5.0,,19.0,5.0,16.0,9.0,,,4.0,1.0
Brent,2011,E09000005,310.0,216.0,94.0,51.0,33.0,8.0,10.0,,42.0,2.0,24.0,4.0,,17.0,2.0,17.0,7.0,3.0,,6.0,
