Borough,Year,"Decisions made during the year per 1,000 households","Households accommodated by the authority on 31 March per 1,000 households"
Greenwich,2011,1.91,2.42
Greenwich,2012,2.84,2.07
Greenwich,2013,2.2039614306749633,2.783451289602432
Greenwich,2014,3.4027277911248635,3.711216849111458
Greenwich,2015,4.14,4.08
Greenwich,2016,4.82,4.59
Greenwich,2017,4.86,5.67
Hackney,2004,12.532608695652174,26.945652173913043
Hackney,2005,..,25.065217391304348
Hackney,2006,8.89655172413793,23.04597701149425
Hackney,2007,8.429525248215501,21.86372075323747
Hackney,2008,6.964024866664402,18.72926362514296
Hackney,2009,7.340909090909091,15.727272727272727
Hackney,2010,9.044444444444444,14.4
Hackney,2011,7.62,14.59
Hackney,2012,6.78,14.79
Hackney,2013,8.511917624179107,16.488317252135026
Hackney,2014,8.32556465234768,18.654064481590535
Hackney,2015,9.22,22.61
Hackney,2016,6.95,25.1
Hackney,2017,8.04,24.24
Hammersmith and Fulham,2004,7.593023255813954,21.22093023255814
Hammersmith and Fulham,2005,5,19.38372093023256
Hammersmith and Fulham,2006,5.6075949367088604,19.10126582278481
Hammersmith and Fulham,2007,3.3109972408356327,15.766653527788726
Hammersmith and Fulham,2008,2.144952255430218,13.231512708196043
Hammersmith and Fulham,2009,2.0259740259740258,11.38961038961039
Hammersmith and Fulham,2010,2.1447368421052633,11.68421052631579
Hammersmith and Fulham,2011,2.67,13.49
Hammersmith and Fulham,2012,3.49,14.85
Hammersmith and Fulham,2013,4.79888316900794,14.197215401298815
Hammersmith and Fulham,2014,5.5167615118908575,14.872890832732786
Hammersmith and Fulham,2015,5.02,14.37
Hammersmith and Fulham,2016,4.42,15.3
Hammersmith and Fulham,2017,2.99,16.81
Haringey,2004,11.633663366336634,52.56435643564357
Haringey,2005,11.168316831683168,56.415841584158414
Haringey,2006,6.223404255319149,62.351063829787236
Haringey,2007,7.444089456869009,57.390841320553776
Haringey,2008,9.8365428607079,47.29027159672254
Haringey,2009,3.6979166666666665,36.947916666666664
Haringey,2010,5.040816326530612,33.61224489795919
Haringey,2011,5.85,30.04
Haringey,2012,5.82,27.23
Haringey,2013,7.137972703343231,26.875122947364478
Haringey,2014,6.030067735007434,27.507021311746243
Haringey,2015,5.42,28.46
Haringey,2016,5.95,27.44
Haringey,2017,3.38,25.16
Harrow,2004,1.1162790697674418,14.825581395348838
Harrow,2005,1.3953488372093024,13.488372093023257
Harrow,2006,1.9875,13.6625
Harrow,2007,2.744761975731833,13.140082218661899
Harrow,2008,0.9013727663617429,8.62394484573127
Harrow,2009,0.6097560975609756,6.7317073170731705
Harrow,2010,0.5232558139534884,5.1395348837209305
Harrow,2011,1.27,4.65
Harrow,2012,1.34,4.16
Harrow,2013,2.0616431295742705,4.833407781557457
Harrow,2014,3.1540055870956114,6.623411732900784
Harrow,2015,5.72,10.74
Harrow,2016,4.92,8.3
Harrow,2017,3.31,8.89
Havering,2004,2.150537634408602,8.75268817204301
Havering,2005,..,..
Havering,2006,2.838709677419355,6.225806451612903
Havering,2007,1.8389865140988966,6.915019465295851
Havering,2008,1.345923547303384,6.061954874468785
Havering,2009,1.3617021276595744,5.638297872340425
Havering,2010,1.4270833333333333,4.604166666666667
Havering,2011,2.35,5.48
Havering,2012,2.06,6.3
Havering,2013,1.644753438341927,6.286388908509329
Havering,2014,1.9076726393799563,6.482091847945506
Havering,2015,3.93,7.02
Havering,2016,3.09,7.2
Havering,2017,3.19,8.92
