,,Domestic consumers,Domestic consumers,Commercial and industrial consumers,Commercial and industrial consumers,All consumers,All consumers,Sales per consumer,Sales per consumer
,,Sales in the year - GWh,Number of MPANs (thousands),Sales in the year - GWh,Number of MPANs (thousands),Sales in the year - GWh,Number of MPANs (thousands),Average domestic consumption kWh,Average industrial and commercial consumption kWh
"('', 'Borough')","('', 'Year')",,,,,,,,
Tower Hamlets,2005,371.31220369999994,92.684,2223.6516458096003,15.766,2594.9638495096,108.45,4006.2168626731686,141040.95178292532
Waltham Forest,2005,389.66746970000025,94.783,365.37400740000004,9.107,755.0414771000003,103.89,4111.153579228345,40120.12818710883
Wandsworth,2005,515.6702311000003,128.174,666.171589,16.351,1181.8418201000004,144.525,4023.2046366657837,40741.94783193689
Westminster,2005,507.43569089999977,118.219,3545.950950000001,45.14,4053.3866409000007,163.35899999999998,4292.336180309424,78554.51816570672
City of London,2006,24.59111849999998,5.557,2717.8201720999996,7.942,2742.4112905999996,13.499,4425.250764801148,342208.5333795013
Barking and Dagenham,2006,302.26508270000005,71.776,483.2300570500001,5.489,785.4951397500001,77.265,4211.227746043246,88036.0825378029
Barnet,2006,681.9877409500001,137.116,569.4704499500002,11.864,1251.4581909000003,148.98,4973.801313851046,47999.8693484491
Bexley,2006,417.1661744500001,93.806,445.6818409499999,6.693,862.8480154,100.499,4447.116116772915,66589.24861048856
Brent,2006,457.94072850000026,109.222,699.5731908000001,13.733,1157.5139193000005,122.955,4192.751721264949,50941.031879414564
Bromley,2006,608.6681149999997,132.141,525.0740426000001,10.957,1133.7421575999997,143.09799999999998,4606.2018222958795,47921.3327188099
Camden,2006,368.26998825,97.435,1594.38926975,27.915,1962.6592580000001,125.35,3779.647849848617,57115.86135590184
Croydon,2006,635.54011065,139.818,758.2348758,12.325,1393.7749864500001,152.143,4545.481344676651,61520.07105882354
Ealing,2006,515.6385938999999,126.048,852.222463,11.775,1367.8610568999998,137.823,4090.811388518659,72375.58072186836
Enfield,2006,559.0233459000001,121.948,821.95751815,8.642,1380.98086405,130.59,4584.112456948864,95111.95535177043
Greenwich,2006,394.2153248499999,101.531,436.533407,8.94,830.7487318499999,110.471,3882.7089741064297,48829.24015659955
Hackney,2006,341.88671855,93.824,438.44645748629995,17.111,780.3331760363,110.935,3643.915400643759,25623.660656086722
Hammersmith and Fulham,2006,295.5652126000002,79.695,727.0805085,13.891,1022.6457211000002,93.586,3708.7045937637267,52341.84065222086
Haringey,2006,419.83454430000006,100.967,393.34800529999995,9.621,813.1825496,110.588,4158.136265314411,40884.31611059141
Harrow,2006,394.91846700000013,84.813,275.12912570000003,5.968,670.0475927000002,90.781,4656.343567613457,46100.72481568366
Havering,2006,457.64591164999996,97.975,431.54079435,7.122,889.186706,105.097,4671.047835162031,60592.64172283067
Hillingdon,2006,460.58683679999996,102.81,1327.3695186000002,7.843,1787.9563554000001,110.653,4479.980904581266,169242.57536656893
Hounslow,2006,399.3742502999999,93.552,978.3196799500001,8.161,1377.69393025,101.71300000000001,4269.00814840944,119877.42677980641
Islington,2006,317.53092274999995,91.608,947.60147555,18.457,1265.1323983,110.065,3466.1920656492875,51341.03459663001
Kensington and Chelsea,2006,381.78715964999986,88.135,1131.5205332,19.131,1513.30769285,107.266,4331.84500652408,59145.916742459885
Kingston upon Thames,2006,290.58713564999994,63.468,347.1948469,6.584,637.78198255,70.052,4578.482631404801,52733.1176944107
Lambeth,2006,461.38598490000015,127.399,693.93209175,18.018,1155.3180766500002,145.417,3621.5824684652166,38513.269605394606
Lewisham,2006,440.14315095,114.485,433.61540435000006,11.563,873.7585553000001,126.048,3844.5486391230293,37500.25117616536
Merton,2006,334.90535524999996,78.871,344.9882605,7.418,679.89361575,86.289,4246.242031291602,46506.91028579132
Newham,2006,374.88740425000003,98.321,869.5667777000001,10.452,1244.45418195,108.773,3812.892507704357,83196.20911787219
Redbridge,2006,427.46914740000017,97.994,306.481869,7.955,733.9510164000002,105.949,4362.19714880503,38526.94770584538
Richmond upon Thames,2006,365.75673329999995,80.54,423.264351,8.879,789.0210843,89.41900000000001,4541.305355103053,47670.27266584075
Southwark,2006,454.54041204999993,120.285,1375.6828435500001,18.326,1830.2232556000001,138.611,3778.861969904809,75067.2729209866
Sutton,2006,360.9288166,77.582,311.7594134,6.331,672.68823,83.913,4652.2236678611025,49243.31280998263
Tower Hamlets,2006,365.57654489999993,94.811,2713.9285996499993,15.873,3079.5051445499994,110.68400000000001,3855.8452595163,170977.6727556227
Waltham Forest,2006,381.04182970000005,94.909,378.6338634,9.106,759.6756931,104.015,4014.812396084671,41580.70101032286
Wandsworth,2006,508.6297165999999,129.788,679.7559161000001,16.165,1188.3856327,145.953,3918.9271473479816,42051.09286111971
Westminster,2006,500.55699354999985,119.137,3709.175867549999,45.189,4209.732861099999,164.326,4201.524241419541,82081.38855805615
City of London,2007,25.07850089999996,5.651,2530.0315533999965,7.8,2555.1100542999966,13.451,4437.887258892224,324363.0196666662
Barking and Dagenham,2007,299.18717079999993,72.545,485.6192810000001,5.476,784.8064518000001,78.021,4124.159773933419,88681.38805697592
Barnet,2007,678.1080956999998,138.232,538.7234561999999,11.795,1216.8315518999996,150.027,4905.579718878406,45673.88352691817
Bexley,2007,418.06938640000004,94.62,432.6974546,6.684,850.766841,101.304,4418.403999154513,64736.303800119684
Brent,2007,463.3895975,110.283,755.6069492000001,13.727,1218.9965467000002,124.01,4201.8225610474865,55045.30845778394
Bromley,2007,608.7410676000002,133.787,474.8980073999999,10.943,1083.639075,144.73,4550.0763721437825,43397.423686374845
Camden,2007,370.51425880000005,98.335,1559.3081286999998,27.628,1929.8223875,125.963,3767.8777525804653,56439.413953235846
Croydon,2007,638.7369461999999,143.359,736.5880276999999,12.254,1375.3249738999998,155.613,4455.506429313819,60110.00715684673
Ealing,2007,519.1540142,127.176,916.2222509999998,11.702,1435.3762651999998,138.878,4082.1697034031577,78296.21013501963
Enfield,2007,561.3559001000001,123.175,845.9307107,8.728,1407.2866108000003,131.903,4557.385022122997,96921.4838107241
Greenwich,2007,395.5830532999998,102.747,422.99487699999986,8.909,818.5779302999997,111.656,3850.069133891985,47479.50129082948
Hackney,2007,344.95887289999985,95.705,431.1052669,16.945,776.0641397999998,112.65,3604.3976061856733,25441.44390085571
Hammersmith and Fulham,2007,298.5263716,80.599,731.7679838,13.862,1030.2943554,94.461,3703.8470899142667,52789.49529649401
Haringey,2007,415.5124429000002,102.36,344.28603680000003,9.432,759.7984797000003,111.792,4059.324373778822,36501.912298558105
Harrow,2007,391.6442525999999,85.416,270.58032940000004,5.918,662.224582,91.334,4585.139231525709,45721.58320378506
Havering,2007,456.44252229999984,98.861,407.46485179999996,7.163,863.9073740999997,106.024,4617.013001082326,56884.66449811531
Hillingdon,2007,458.63599519999997,103.575,1225.6592137,7.799,1684.2952089,111.374,4428.05691720975,157155.94482625977
Hounslow,2007,405.28152069999993,94.889,969.2157979999997,8.175,1374.4973186999998,103.064,4271.111727386735,118558.50740061158
Islington,2007,323.2376894999999,93.38,923.3121005,18.388,1246.54979,111.768,3461.5301938316543,50212.7529095062
Kensington and Chelsea,2007,383.55968269999994,88.676,1104.3738162,19.014,1487.9334989000001,107.69,4325.40577721142,58082.14032817924
Kingston upon Thames,2007,294.4857019,64.319,340.13958609999986,6.513,634.6252879999997,70.832,4578.518041325269,52224.717656993686
Lambeth,2007,462.25160719999985,129.401,678.4340901000002,17.95,1140.6856973,147.351,3572.2413829877655,37795.771036211714
Lewisham,2007,442.0964915999999,115.872,428.2281036,11.525,870.3245952,127.397,3815.3867336371163,37156.45150542299
Merton,2007,335.9090680999999,79.533,329.75894739999995,7.449,665.6680154999999,86.982,4223.5181383828085,44268.88809236138
Newham,2007,379.88471109999995,100.443,862.9964374000001,10.276,1242.8811485,110.719,3782.0924414842243,83981.74750875829
Redbridge,2007,430.21778470000004,99.097,298.6899495,7.924,728.9077342,107.021,4341.3805130326855,37694.339916708734
Richmond upon Thames,2007,363.8711788,81.013,421.45805120000006,8.732,785.32923,89.745,4491.5159147297345,48265.92432432434
Southwark,2007,465.19227100000023,123.13,1317.8011347,18.199,1782.9934057,141.329,3778.057914399417,72410.63435903071
Sutton,2007,363.5867513,79.228,308.8854137000001,6.258,672.472165,85.486,4589.119393396275,49358.48732821989
Tower Hamlets,2007,377.55476169999986,97.621,2712.797098000001,15.756,3090.3518597000007,113.377,3867.556793108039,172175.49492256925
Waltham Forest,2007,381.36693680000013,95.991,360.00177360000004,9.006,741.3687104,104.997,3972.9447219010126,39973.54803464357
Wandsworth,2007,516.5917993999999,131.57,643.8150450999999,16.138,1160.4068444999998,147.708,3926.3646682374397,39894.35153674556
Westminster,2007,504.96931420000016,119.43,3613.9782243,44.454,4118.9475385000005,163.884,4228.161384911665,81297.03118504521
City of London,2008,25.406250800000002,5.713,2558.312509420001,7.46,2583.718760220001,13.173,4447.094486259409,342937.333702413
Barking and Dagenham,2008,285.21165260000004,72.478,467.6023227,5.46,752.8139753,77.93799999999999,3935.1479428240295,85641.45104395604
Barnet,2008,651.1977693,139.458,559.6143959,11.602,1210.8121652,151.06,4669.490235769909,48234.304076883294
Bexley,2008,402.47400760000005,94.626,430.1155386,6.682,832.5895462000001,101.308,4253.313123243083,64369.28144268183
Brent,2008,446.63664679999994,110.431,836.22298435,13.496,1282.85963115,123.92699999999999,4044.4861207450804,61960.80204134559
Bromley,2008,587.6993395,133.807,460.14432719999996,10.796,1047.8436666999999,144.60299999999998,4392.141961930242,42621.74205261208
Camden,2008,362.7776216,98.859,1459.05521934,27.128,1821.8328409399999,125.987,3669.6468869804467,53784.10569669714
Croydon,2008,624.9670964,144.113,740.34141584,12.034,1365.3085122399998,156.147,4336.646217898455,61520.80902775469
Ealing,2008,503.2086021999999,128.065,900.8211209200001,11.77,1404.02972312,139.835,3929.3218459376094,76535.35436873407
Enfield,2008,533.1965446,123.118,580.1369679000001,8.517,1113.3335125,131.635,4330.77652820871,68115.17763296937
Greenwich,2008,386.464999,102.705,438.61556242999995,8.731,825.08056143,111.43599999999999,3762.8645051360695,50236.57798992097
Hackney,2008,341.86386760000005,97.108,437.97190487,16.711,779.83577247,113.819,3520.450092680315,26208.59941774879
Hammersmith and Fulham,2008,294.4917891,80.811,713.95650975,13.718,1008.44829885,94.52900000000001,3644.2042432342137,52045.23325193177
Haringey,2008,397.1300047,102.756,422.2254427,9.3,819.3554474,112.056,3864.786530226945,45400.58523655914
Harrow,2008,373.16145689999996,85.755,264.5605082,5.815,637.7219651,91.57,4351.483375896449,45496.21809114359
Havering,2008,434.62519610000004,99.109,414.86930335,6.981,849.49449945,106.08999999999999,4385.325208608704,59428.348854032374
Hillingdon,2008,442.9002941,104.335,1363.7389639,7.815,1806.6392580000002,112.14999999999999,4244.982930943595,174502.74650031992
Hounslow,2008,397.0402425,95.788,890.18888944,8.057,1287.2291319400001,103.845,4144.989377583831,110486.3956112697
Islington,2008,322.01079179999994,94.98,972.26440374,18.287,1294.27519554,113.267,3390.301029690461,53166.97127686335
Kensington and Chelsea,2008,381.480446,88.599,1101.34592726,18.847,1482.82637326,107.446,4305.6969717491165,58436.13982384464
Kingston upon Thames,2008,284.28222239999997,64.253,329.89944648,6.332,614.18166888,70.585,4424.419441893763,52100.35478205938
Lambeth,2008,455.0519944,130.362,689.23450579,17.74,1144.28650019,148.102,3490.679756370722,38852.00145377677
Lewisham,2008,432.44589270000006,116.298,356.4002821,11.429,788.8461748000001,127.727,3718.4293169272046,31183.85528917666
Merton,2008,327.133191,80.101,491.15263340999996,7.338,818.28582441,87.439,4084.0088263567245,66932.76552330334
Newham,2008,374.180072,101.412,874.2970206,10.01,1248.4770926,111.42200000000001,3689.7021259811463,87342.3597002997
Redbridge,2008,419.3455215,99.321,291.5193634,7.913,710.8648849,107.234,4222.123433110823,36840.561531656764
Richmond upon Thames,2008,354.03561620000005,80.851,405.506359,8.508,759.5419752,89.359,4378.865025788179,47661.7723319229
Southwark,2008,455.6123353999999,123.197,1294.59767532,17.867,1750.21001072,141.064,3698.2421276492114,72457.47329266244
Sutton,2008,352.04907260000004,79.106,333.65434412999997,6.132,685.7034167300001,85.238,4450.346024321796,54411.993498043055
Tower Hamlets,2008,382.8368698,100.218,2793.27042189,15.605,3176.10729169,115.82300000000001,3820.0410086012494,178998.4249849407
Waltham Forest,2008,371.876986,96.696,418.45967314999996,8.894,790.33665915,105.59,3845.836291056507,47049.659675061834
Wandsworth,2008,511.10036160000004,132.693,494.77990918,16.094,1005.88027078,148.787,3851.750744952635,30743.128444140675
Westminster,2008,496.14342209999995,119.941,3619.0556301300003,43.238,4115.19905223,163.179,4136.562327310928,83700.81016998936
City of London,2009,25.71634290000001,5.759,2441.3209723,7.394,2467.0373152,13.153,4465.418110783124,330175.94972951047
Barking and Dagenham,2009,280.8347960999999,72.769,441.40578319999986,5.421,722.2405792999998,78.19000000000001,3859.264193543953,81425.15831027483
Barnet,2009,643.4015886999996,140.237,553.9534485999999,11.493,1197.3550372999994,151.73,4587.958874619391,48199.20374140781
Bexley,2009,401.9691020000003,94.996,404.69945410000025,6.618,806.6685561000006,101.61399999999999,4231.431870815616,61151.32277123002
Brent,2009,445.17860019999966,111.285,801.1496786,13.301,1246.3282787999997,124.586,4000.346858965716,60232.28919630103
Bromley,2009,586.1811492999999,134.79,471.1470056,10.779,1057.3281548999998,145.569,4348.847461235996,43709.71385100659
Camden,2009,367.1179565000002,99.416,1419.4677899000005,26.716,1786.5857464000007,126.132,3692.7451969501917,53131.748386734565
Croydon,2009,613.1417499000001,145.839,720.6294420000006,11.95,1333.7711919000008,157.789,4204.237206097135,60303.71899581595
Ealing,2009,501.0225336000001,128.803,894.3151769999994,11.811,1395.3377105999994,140.614,3889.8359013377026,75718.8364236728
Enfield,2009,524.3087004000002,123.431,538.9833067999998,8.54,1063.2920072000002,131.971,4247.787836118968,63112.799391100685
Greenwich,2009,386.73287399999987,103.269,415.5760164383598,8.7,802.3088904383596,111.96900000000001,3744.9077070563276,47767.35821130573
Hackney,2009,344.4822818999998,98.909,431.5125339999998,16.542,775.9948158999996,115.45100000000001,3482.820389448885,26085.874380365116
Hammersmith and Fulham,2009,295.38926630000003,81.388,759.1658569000003,13.585,1054.5551232000003,94.97300000000001,3629.3958114218312,55882.65417004051
Haringey,2009,384.68069840000004,103.653,416.9314786000002,9.126,801.6121770000002,112.77900000000001,3711.2355493811083,45686.114245014265
Harrow,2009,369.96584170000017,86.23,261.4709397,5.757,631.4367814000002,91.98700000000001,4290.453922068888,45417.91552892131
Havering,2009,427.49629210000006,99.603,406.38909049999984,6.876,833.8853826,106.479,4292.002169613366,59102.543702734125
Hillingdon,2009,440.4341977,104.953,1205.1080828000006,7.796,1645.5422805000007,112.74900000000001,4196.489835450155,154580.3082093382
Hounslow,2009,392.92799839999975,96.712,957.5407540999996,8.062,1350.4687524999995,104.774,4062.8670526925275,118772.11040684691
Islington,2009,324.6261285000001,96.566,955.6985094000003,18.156,1280.3246379000004,114.72200000000001,3361.7021363626964,52638.16421017847
Kensington and Chelsea,2009,383.5374527000001,88.592,1115.4259655000005,18.745,1498.9634182000007,107.337,4329.256058109085,59505.25289410512
Kingston upon Thames,2009,282.28751110000013,64.581,329.6642274,6.238,611.9517385000001,70.819,4371.06131989285,52847.74405258096
Lambeth,2009,453.6136213000001,132.392,721.1886370000005,17.652,1174.8022583000006,150.04399999999998,3426.291779714787,40855.91644006348
Lewisham,2009,430.85250530000013,117.172,360.08357639999997,11.324,790.9360817000002,128.496,3677.094402246272,31798.26707877075
Merton,2009,326.62605630000024,80.621,486.2349881000001,7.318,812.8610444000003,87.939,4051.3768906364376,66443.69883848047
Newham,2009,379.3235726,102.346,921.5732455000003,9.916,1300.8968181000002,112.262,3706.2862505618195,92938.00378176688
Redbridge,2009,423.4028143999999,100.586,290.2649150000002,7.892,713.6677294000001,108.478,4209.361286859005,36779.639508362925
Richmond upon Thames,2009,353.0300260000001,81.413,383.8887691000003,8.402,736.9187951000004,89.815,4336.2856791912845,45690.16532968344
Southwark,2009,458.07021790000005,125.035,1191.5085863,17.73,1649.5788042,142.765,3663.535953133123,67202.9659503666
Sutton,2009,348.7810844,79.87,368.41088739999975,6.047,717.1919717999997,85.917,4366.859702015775,60924.57208533153
Tower Hamlets,2009,393.98265719999995,104.329,2638.262125599999,15.557,3032.2447827999986,119.886,3776.3484476991052,169586.81786976918
