Borough,Year,All recorded offences,Burglary,Criminal Damage,Drugs,Fraud or Forgery,Mid-year estimates,Other Notifiable Offences,Robbery,Sexual Offences,Theft and Handling,Violence Against the Person
Barking and Dagenham,1999,120.4538179311024,15.777744945950605,22.567777203220807,2.733249612174041,13.500036935805571,162444.0,1.0280465883627588,3.1641673438231024,1.1450099726675038,40.77712934919111,19.76065597990692
Barking and Dagenham,2000,123.57452728304442,12.020037463467018,23.85092712928557,2.477225995008939,14.564380418931865,163893.0,1.0494651998560036,4.460227099388015,1.2813237905218648,41.880983324486095,21.989956862099053
Barking and Dagenham,2001,123.98131044224708,13.401427070882685,21.774300650753986,2.81912902797397,12.266531445060187,165654.0,1.0986755526579497,5.197580499112608,1.2737392396199307,42.35937556593864,23.790551390247145
Barking and Dagenham,2002,122.59177551891416,12.094471528099211,21.009034786633567,5.2176944763370345,10.61572401522028,166357.0,1.5568927066489535,4.1236617635566875,1.5088033566366308,40.064439729016506,26.401053156765272
Barking and Dagenham,2003,133.2290475903977,13.476926779375491,24.46302869863426,4.704891402442693,10.456651224354731,166210.0,1.5041212923410143,4.825221105829974,1.4138740148005535,42.89152277239637,29.49281030022261
Barking and Dagenham,2004,129.4728579192078,13.133264899462596,23.39230722782441,2.5240021737817764,11.06213392911056,165610.0,1.4793792645371655,4.462290924461083,1.4733409818247691,40.40214962864561,31.54398888955981
Barking and Dagenham,2005,132.68380694632387,11.553149902270336,23.773868591189288,3.891144188843783,10.825439783491206,166275.0,1.3591941061494512,4.660953240114269,1.5516463689670728,43.26567433468651,31.80273643061194
Barking and Dagenham,2006,127.92763689226295,12.664740333937555,22.11094958631705,5.892663783149973,9.482103651058585,167157.0,1.4537231465029885,4.8158318227773895,1.573371142099942,39.12489456020389,30.809358866215593
Barking and Dagenham,2007,115.57643272535809,9.199495950446961,18.89002608988884,7.779638054558038,7.075625181179785,169031.0,1.4376061195875312,3.6620501564801717,1.7038294750667036,36.525844371742465,29.302317326407586
Barking and Dagenham,2008,115.89891680003711,11.951151624799945,17.63389232945979,8.819845522232274,6.912068285667896,172452.0,1.7048222113979543,4.38382854359474,1.1887365759747641,32.72794748683692,30.576624220072826
Barking and Dagenham,2009,111.74118707061605,13.683973420430231,14.88343281901115,6.38022299808537,7.354431805383488,177580.0,1.9822052032886588,4.696474828246425,1.5035476968127042,31.906746255208922,29.350152044149123
Barking and Dagenham,2010,104.88519891926184,12.10361084676052,13.224821973550355,5.534954440542993,6.612410986775178,182838.0,1.832223060851683,5.1247552478150045,1.4329625132631072,34.538772027696645,24.480687822006374
Barking and Dagenham,2011,100.652839933914,13.02471809184672,11.1747376075368,5.496473808874558,6.73157638654968,187029.0,1.83928695549888,5.5071673376855985,1.4703602115180001,33.38519694806688,22.023322586336878
Barking and Dagenham,2012,90.47019311502942,13.329135180520572,8.779387069689339,5.982367758186397,3.6471452560873217,190560.0,1.3853904282115868,3.5002099076406386,1.3539042821158693,32.756087321578505,19.73656591099916
Barking and Dagenham,2013,82.85996542356138,10.321478554375568,8.474314645591503,6.2412529842759525,0.1543591010125957,194352.0,1.5590269202272165,2.7064295710875115,1.5435910101259571,30.24923849510167,21.610274141763398
Barking and Dagenham,2014,81.87337993080982,9.450613735160925,8.436967331336298,5.491845441616993,0.12607542336127164,198294.0,1.6541095544998838,2.4509062301431213,2.0323358245836993,26.15308582206219,26.07744056804543
Barking and Dagenham,2015,86.52879754825996,7.594848969447319,9.664371048475337,5.792681417375075,0.11882423420256563,201979.0,1.7328534154540818,2.9111937379628574,2.0447670302358167,26.48295119789681,30.186306497210108
Barking and Dagenham,2016,70.89993219025476,5.066356679259905,7.609222125351157,4.523878717427103,0.07749685169040008,206460.0,1.5354063741160515,2.077884335948852,1.9180470793374016,23.423423423423422,24.66821660370048
Barnet,1999,97.96183992675512,14.514991913075932,16.30145245622374,1.5759134077053871,12.498843585809126,313469.0,0.8708995147845561,2.7945347067812127,0.7783863795144017,35.08799913229059,13.538818830570168
Barnet,2000,95.67615838674536,13.005725432574165,16.036277962151342,1.532693233349378,9.816836825171636,315784.0,0.9405163022825728,3.296557140323765,0.6966787424315355,35.86628834899805,14.484584399462927
Barnet,2001,101.02009196165031,12.376322848620104,15.938350011424776,1.7090218197639298,12.301201010388725,319481.0,0.8012996078014029,4.178652251620599,0.7668687652786863,37.792544783570854,15.15583086318122
Barnet,2002,107.12146547206068,12.600139758915873,15.803988120492154,1.940402805161097,12.82475230227857,320552.0,0.7923831390850782,3.3036761586263697,0.9109286480820584,42.5796750605206,16.365519478898896
Barnet,2003,112.76499213802276,12.361638523066981,16.38585216996787,1.9670480606086973,13.458586335697104,321802.0,1.1373453241434173,3.362315958260049,0.8265952355796421,45.1892778789442,18.076332651754807
